init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0007,0.0049,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0157,61.6148,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,61.6162,79.0878,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,79.1119,90.7873,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,90.8107,102.5986,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,102.6249,129.7229,y,17.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq14.csv,129.7618,132.3052,space,2.013,,132.3141,132.3144,132.3155,213.4361,0,0,left,80.5418,,213.464,213.47,,0,,213.4722,213.4771,,0,,1,213.4773,213.4776,213.4786,214.9789,0,0,0,0,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,214.9805,214.9805,214.9943,218.0864,0,0,left,2.5606,,218.1121,218.1142,,0,,218.1166,218.1183,,0,,1,218.1184,218.1184,218.1199,219.6012,0,1,1,1,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,219.6018,219.6018,219.6056,221.2875,0,0,left,1.1474,,221.2899,221.2921,,0,,221.2942,221.296,,0,,1,221.2962,221.2962,221.298,222.7998,0,2,2,2,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d251b0c86fe240017764b36,66fc97b13270de5129c40376,2024-10-02_01h46.03.545,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,222.8005,222.8007,222.804,223.7998,0,0,left,0.4608,,223.802,223.8039,,0,,223.8059,223.8073,,0,,1,223.8074,223.8074,223.8085,225.3039,0,3,3,3,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
