init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0006,0.0022,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,0.0069,103.7585,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,103.7591,160.2117,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,160.2266,194.8947,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,194.9061,255.6614,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,,,,,,,,,255.6741,330.1951,y,64.5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq1.csv,330.2115,335.6617,space,4.9242,,335.6749,335.675,335.6753,357.1619,0,1,left,20.9574,,357.1734,357.1747,,0,,357.175,357.1759,,1,,0,357.176,357.1761,357.1763,358.678,0,0,0,0,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,358.6786,358.6787,358.6808,360.0778,1,0,right,0.8735,,360.0796,360.0816,,0,,360.0828,360.0837,,0,,1,360.0837,360.0837,360.0844,361.5778,0,1,1,1,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,361.5783,361.5783,361.5811,362.9113,1,0,right,0.8057,,362.913,362.9151,,0,,362.9161,362.9168,,0,,1,362.9169,362.9169,362.9176,364.4113,0,2,2,2,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d585e287d795e001788bf4c,66fc988d7f83fb21ca39aa33,2024-10-02_02h50.22.160,mdp,2024.2.1,Win32,60.60606061,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,364.4116,364.4116,364.4142,365.6281,1,1,right,0.6841,,365.6298,365.6317,,1,,365.6326,365.6333,,1,,0,365.6334,365.6334,365.6342,367.1278,0,3,3,3,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
