init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.0007,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,0.003,29.0793,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,29.0797,58.0796,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,58.0798,76.4965,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,76.4968,106.5805,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,106.5806,120.2641,y,3.6485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq43.csv,120.2659,122.4974,space,1.7061,,122.4988,122.4989,122.4991,124.1642,0,0,left,1.1431,,124.1645,124.1653,,0,,124.1654,124.1658,,0,,1,124.1659,124.1659,124.1661,125.6643,0,0,0,0,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,125.6645,125.6645,125.6649,127.0642,0,0,left,0.8744,,127.0646,127.0649,,0,,127.0651,127.0653,,0,,1,127.0653,127.0653,127.0655,128.5643,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,128.5645,128.5645,128.565,129.6309,0,0,left,0.5345,,129.6313,129.6316,,0,,129.6318,129.632,,1,,1,129.632,129.632,129.6323,131.1309,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5d7df958cb6cf00001399929,66fce6cb3397cd8e465b92d6,2024-10-02_08h23.20.265,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,131.1311,131.1311,131.1315,132.1477,0,0,left,0.4961,,132.1481,132.1484,,0,,132.1486,132.1488,,0,,1,132.1489,132.1489,132.149,133.6475,0,3,3,3,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
