init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0008,0.0042,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,0.015,31.5869,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,31.5891,143.1777,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,143.2138,166.7375,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,166.7768,209.4149,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,,,,,,,,,209.45,257.3892,y,37.8327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq10.csv,257.4385,259.9792,space,1.9241,,259.9921,259.9925,259.9936,261.702,0,1,left,1.0971,,261.7038,261.7079,,1,,261.7088,261.7127,,1,,0,261.713,261.7134,261.7143,263.2058,0,0,0,0,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,263.2067,263.2069,263.2097,264.6429,1,0,right,0.8563,,264.6455,264.6476,,0,,264.6492,264.651,,0,,1,264.6511,264.6511,264.6528,266.1132,0,1,1,1,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,266.1138,266.1139,266.1183,267.4479,1,1,right,0.7374,,267.4505,267.4527,,0,,267.4543,267.4559,,0,,0,267.456,267.456,267.4575,268.9669,0,2,2,2,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,268.9676,268.9676,268.971,270.8782,1,0,right,1.3219,,270.8809,270.8829,,0,,270.8844,270.886,,0,,1,270.8861,270.8861,270.8878,272.3817,0,3,3,3,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5dfbefa35777b591c3999842,66fc987b88aba78f66206909,2024-10-02_02h53.01.391,mdp,2024.2.1,Win32,19.91555803,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,272.3824,272.3825,272.3907,273.5256,0,1,left,0.5968,,273.5282,273.5301,,1,,273.5322,273.5339,,1,,0,273.534,273.534,273.5354,275.0367,0,4,4,4,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
