init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0021,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0051,1440.4264,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,1440.4277,1452.5315,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,1452.5585,1464.9441,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,1464.9721,1504.216,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,1504.2418,1523.7195,y,9.4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq32.csv,1523.7447,1526.4714,space,2.2125,,1526.4786,1526.479,1526.4798,1543.9896,0,0,left,16.9604,,1544.0132,1544.0145,,0,,1544.0149,1544.0161,,1,,1,1544.0162,1544.0163,1544.0166,1545.5068,0,0,0,0,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,1545.5078,1545.508,1545.5097,1567.3443,0,0,left,21.3044,,1567.3575,1567.358,,0,,1567.3584,1567.3587,,0,,1,1567.3587,1567.3587,1567.359,1568.8628,0,1,1,1,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,1568.864,1568.8641,1568.8671,1572.7665,1,1,right,3.3721,,1572.7881,1572.7887,,1,,1572.7893,1572.7897,,1,,0,1572.7897,1572.7897,1572.7901,1574.2848,0,2,2,2,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e13ff1b94d5eea33e200fce,66fc9849e2a5af8e2bc40518,2024-10-01_21h49.44.105,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,1574.2855,1574.2855,1574.2879,1577.171,0,0,left,2.358,,1577.1728,1577.1741,,1,,1577.1753,1577.1763,,0,,1,1577.1764,1577.1764,1577.1774,1578.6724,0,3,3,3,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
