init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.003,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,0.017,27.479,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,27.481,38.357,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,38.359,56.213,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,56.214,88.962,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,88.962,107.252,y,8.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq39.csv,107.256,109.35,space,1.566,,109.353,109.353,109.354,110.866,0,1,left,0.978,,110.867,110.869,,1,,110.869,110.87,,1,,0,110.87,110.87,110.87,112.365,0,0,0,0,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,112.366,112.366,112.367,113.448,1,0,right,0.551,,113.449,113.451,,0,,113.453,113.453,,1,,1,113.453,113.453,113.454,114.948,0,1,1,1,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,114.948,114.948,114.949,115.897,1,0,right,0.419,,115.898,115.9,,0,,115.9,115.9,,0,,1,115.9,115.9,115.9,117.396,0,2,2,2,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,117.396,117.396,117.397,118.445,1,0,right,0.543,,118.446,118.446,,0,,118.448,118.448,,0,,1,118.448,118.448,118.449,119.945,0,3,3,3,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,119.945,119.945,119.947,120.728,1,0,right,0.27,,120.728,120.729,,0,,120.73,120.73,,0,,1,120.73,120.73,120.731,122.226,0,4,4,4,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,122.226,122.227,122.227,123.159,1,0,right,0.399,,123.16,123.16,,1,,123.162,123.162,,0,,1,123.162,123.162,123.162,124.658,0,5,5,5,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,124.658,124.658,124.66,125.642,1,0,right,0.464,,125.642,125.643,,0,,125.644,125.644,,0,,1,125.644,125.644,125.644,127.141,0,6,6,6,1,0.6,0.4,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,127.141,127.141,127.142,128.056,1,0,right,0.408,,128.057,128.059,,0,,128.06,128.06,,0,,1,128.06,128.06,128.061,129.556,0,7,7,7,1,0.6,0.4,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,129.556,129.556,129.557,130.372,1,0,right,0.287,,130.375,130.377,,0,,130.378,130.379,,1,,1,130.379,130.379,130.38,131.872,0,8,8,8,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,131.872,131.872,131.873,132.738,1,1,right,0.337,,132.741,132.742,,0,,132.743,132.744,,1,,0,132.744,132.744,132.744,134.237,0,9,9,9,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,134.238,134.238,134.24,134.787,0,1,left,0.017,,134.788,134.789,,0,,134.789,134.79,,1,,0,134.79,134.79,134.79,136.286,0,10,10,10,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,136.286,136.286,136.287,137.169,1,0,right,0.349,,137.169,137.171,,0,,137.172,137.173,,0,,1,137.173,137.173,137.173,138.668,0,11,11,11,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e15bb77e78021b9d45d8cf4,66daf59e805b033eede348a5,2024-09-06_14h29.35.591,mdp,2024.2.1,Win32,60.16847172,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,138.668,138.669,138.669,139.617,1,1,right,0.419,,139.618,139.619,,1,,139.62,139.621,,0,,0,139.621,139.621,139.621,141.117,0,12,12,12,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
