init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0009,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0035,695.8303,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,695.8318,707.1032,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,707.1037,718.627,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,718.634,746.9853,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,746.9928,857.7551,y,100.7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq12.csv,857.7655,864.5156,space,6.2349,,864.5233,864.5233,864.5234,867.8627,1,0,right,2.8193,,867.87,867.8711,,0,,867.8714,867.8722,,0,,1,867.8723,867.8724,867.8726,869.3615,0,0,0,0,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,869.3618,869.3618,869.3627,872.9412,0,0,left,3.0604,,872.9422,872.9431,,0,,872.9437,872.9441,,0,,1,872.9441,872.9441,872.9444,874.4401,0,1,1,1,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,874.4405,874.4405,874.4417,876.0553,1,1,right,1.0858,,876.056,876.0565,,0,,876.0572,876.0575,,0,,0,876.0576,876.0576,876.058,877.5541,0,2,2,2,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5e3c407472a17401e4754bd0,66fc98d1559574b3ea396751,2024-10-02_01h50.42.100,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,877.5545,877.5545,877.5557,878.9529,0,0,left,0.8742,,878.9538,878.9544,,0,,878.9552,878.9557,,0,,1,878.9558,878.9558,878.956,880.4514,0,3,3,3,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
