init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0009,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,0.0034,331.3286,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,331.329,355.3771,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,355.3775,384.3558,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,384.3561,401.2558,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,401.2561,495.8993,y,84.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq32.csv,495.9024,497.6011,space,1.1915,,497.6028,497.6028,497.603,536.1975,0,0,left,38.078,,536.1978,536.1986,,1,,536.1988,536.1993,,0,,1,536.1994,536.1994,536.1995,537.6989,0,0,0,0,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,537.6992,537.6992,537.6992,542.0531,0,1,left,3.8464,,542.0537,542.054,,1,,542.0542,542.0545,,0,,0,542.0545,542.0545,542.0547,543.5546,0,1,1,1,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,543.5548,543.5548,543.5555,545.7819,0,0,left,1.722299999,,545.7824,545.7828,,0,,545.783,545.7832,,1,,1,545.7832,545.7832,545.7834,547.2833,0,2,2,2,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ed9c3054268815691ed0e2c,66fcce14af1672a1e20f76a1,2024-10-01_22h02.23.319,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,547.2835,547.2835,547.2842,554.0735,0,0,left,6.2846,,554.0741,554.0746,,0,,554.0748,554.0751,,0,,1,554.0751,554.0751,554.0754,555.5748,0,3,3,3,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
