init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.001,0.002,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,0.004,88.952,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,88.952,287.691,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,287.691,350.981,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,350.986,539.491,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,,,,,,,,,539.491,586.437,y,36.937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq13.csv,586.445,591.537,space,4.589,,591.543,591.543,591.543,595.24,1,1,right,3.188,,595.244,595.245,,0,,595.245,595.246,,0,,0,595.246,595.246,595.246,596.744,0,0,0,0,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,596.745,596.745,596.745,598.194,0,0,left,0.947,,598.194,598.194,,0,,598.194,598.195,,0,,1,598.195,598.195,598.195,599.695,0,1,1,1,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,599.696,599.696,599.697,601.582,0,0,left,1.385,,601.583,601.583,,0,,601.584,601.584,,0,,1,601.584,601.584,601.584,603.084,0,2,2,2,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,603.084,603.084,603.085,604.361,0,0,left,0.773,,604.361,604.361,,0,,604.362,604.363,,0,,1,604.363,604.363,604.363,605.863,0,3,3,3,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60dc9eef1d2e18498fddb772,66fc998519a305dfc4632b01,2024-10-01_18h55.29.800,mdp,2024.2.1,Win32,500,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,605.863,605.863,605.863,607.335,0,0,left,0.969,,607.336,607.336,,0,,607.336,607.336,,1,,1,607.336,607.336,607.337,608.834,0,4,4,4,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
