init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0014,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,0.0048,48.9245,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,48.9249,171.3703,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,171.3782,194.4594,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,194.467,239.7931,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,,,,,,,,,239.8013,453.3353,y,203.4829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq42.csv,453.346,456.2294,space,2.3216,,456.2327,456.2329,456.2331,458.3809,1,0,right,1.603,,458.3813,458.3823,,1,,458.3826,458.3835,,1,,1,458.3836,458.3837,458.3839,459.888,0,0,0,0,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,459.8883,459.8883,459.8889,462.4648,1,0,right,2.0115,,462.4654,462.4658,,1,,462.4662,462.4666,,1,,1,462.4667,462.4667,462.4671,463.964,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,463.9641,463.9641,463.9651,466.0242,0,0,left,1.5035,,466.0248,466.0253,,0,,466.0257,466.0264,,0,,1,466.0264,466.0265,466.0269,467.5389,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6103b565e6171b4849b8ed7b,66daf5c3b9f3c0e71701ece6,2024-09-06_14h31.01.854,mdp,2024.2.1,Win32,16.14569879,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,467.5392,467.5393,467.5403,470.0157,1,1,right,1.9086,,470.0231,470.0236,,0,,470.0241,470.0244,,0,,0,470.0244,470.0244,470.0247,471.5034,0,3,3,3,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
