init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
9.99999E-05,0.0007,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,0.0031,52.6018,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,52.6021,88.9391,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,88.9455,149.3853,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,149.393,180.2924,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,,,,,,,,,180.2997,220.0123,y,29.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq4.csv,220.0148,225.8104,space,5.2649,,225.8173,225.8173,225.8175,231.9407,1,1,right,5.5881,,231.9463,231.9472,,1,,231.9474,231.9479,,0,,0,231.9479,231.9479,231.948,233.4412,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,233.4418,233.4418,233.4425,235.0396,0,0,left,1.0685,,235.0408,235.0413,,0,,235.0417,235.0419,,0,,1,235.0419,235.0419,235.0421,236.539,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,236.5396,236.5397,236.5407,238.0056,0,1,left,0.9352,,238.0076,238.0086,,0,,238.0098,238.0104,,0,,0,238.0105,238.0105,238.0107,239.5051,0,2,2,2,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61190367632a534f9e11b013,66daf5cf898dc162a3d006cf,2024-09-06_14h32.19.217,mdp,2024.2.1,Win32,60.24096386,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,239.5058,239.5058,239.5068,242.2876,1,1,right,2.2612,,242.2941,242.2946,,0,,242.2951,242.2953,,0,,0,242.2953,242.2953,242.2954,243.7861,0,3,3,3,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
