init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0021,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,0.0074,34.2655,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,34.2672,86.389,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,86.3908,112.6753,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,112.6773,124.2048,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,124.2066,168.5265,y,34.2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq16.csv,168.5337,171.515,space,2.4629,,171.5212,171.5214,171.5223,184.4004,1,0,right,12.3408,,184.401,184.4058,,0,,184.4062,184.4103,,1,,1,184.4104,184.4105,184.4108,185.9069,0,0,0,0,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,185.9074,185.9074,185.9087,190.5812,0,0,left,4.1479,,190.5829,190.5873,,0,,190.5883,190.5918,,0,,1,190.592,190.592,190.5929,192.086,0,1,1,1,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,192.0866,192.0867,192.089,195.8467,1,0,right,3.2501,,195.8495,195.8526,,0,,195.8535,195.856,,0,,1,195.8561,195.8561,195.8567,197.3518,0,2,2,2,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,197.3525,197.3527,197.3545,199.4221,0,1,left,1.5407,,199.4242,199.4282,,0,,199.4293,199.4326,,0,,0,199.4327,199.4327,199.4339,200.928,0,3,3,3,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,200.9292,200.9292,200.9309,202.0474,0,0,left,0.5857,,202.0493,202.0528,,1,,202.0539,202.0571,,0,,1,202.0572,202.0572,202.0582,203.5502,0,4,4,4,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,203.5508,203.5509,203.5538,204.7887,0,1,left,0.7191,,204.7906,204.794,,0,,204.7951,204.7985,,0,,0,204.7985,204.7986,204.7996,206.2923,0,5,5,5,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,206.2932,206.2932,206.295,206.8924,1,1,right,0.0695,,206.8945,206.8984,,1,,206.8995,206.9029,,0,,0,206.903,206.903,206.904,208.3982,0,6,6,6,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,208.3991,208.3991,208.4008,209.182,1,0,right,0.252,,209.1837,209.1866,,1,,209.1873,209.1893,,1,,1,209.1894,209.1895,209.19,210.6877,0,7,7,7,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,210.6886,210.6887,210.6907,211.523,1,1,right,0.3091,,211.5251,211.5284,,1,,211.5296,211.5329,,0,,0,211.533,211.533,211.5341,213.0272,0,8,8,8,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6122f17c5f84f0f57feca3e6,66fc989d536b0676f95af6e8,2024-10-01_21h52.24.822,mdp,2024.2.1,MacIntel,59.84082341,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,213.0279,213.028,213.0298,213.9437,1,0,right,0.3849,,213.9454,213.9496,,1,,213.9506,213.9539,,0,,1,213.9541,213.9541,213.9552,215.4483,0,9,9,9,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
