init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0003,0.0023,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,0.0067,23.4633,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,23.464,43.4629,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,43.4727,58.1777,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,58.1883,140.1412,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,140.151,179.657,y,29.4857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq22.csv,179.6705,202.9225,space,22.7348,,202.9344,202.9346,202.9349,247.654,1,1,right,44.203,,247.6639,247.6653,,1,,247.6656,247.6665,,1,,0,247.6666,247.6667,247.6669,249.1701,0,0,0,0,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,249.1707,249.1707,249.1717,251.2369,0,1,left,1.5488,,251.2383,251.2391,,1,,251.2398,251.2404,,1,,0,251.2404,251.2405,251.241,252.7366,0,1,1,1,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,252.7369,252.7369,252.7384,253.6532,0,1,left,0.3944,,253.6552,253.6559,,1,,253.6567,253.6573,,1,,0,253.6574,253.6574,253.6579,255.1532,0,2,2,2,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,255.1537,255.1537,255.1549,256.3698,0,0,left,0.6928,,256.3713,256.3721,,0,,256.3728,256.3735,,0,,1,256.3735,256.3735,256.3741,257.8696,0,3,3,3,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,257.8699,257.87,257.871,258.9364,0,0,left,0.5441,,258.9374,258.9381,,0,,258.9389,258.9396,,1,,1,258.9396,258.9396,258.9405,260.4362,0,4,4,4,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,260.4368,260.4368,260.4383,261.3362,1,0,right,0.3583,,261.3374,261.3381,,0,,261.3388,261.3395,,0,,1,261.3395,261.3396,261.3401,262.8362,0,5,5,5,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,262.8369,262.8369,262.838,263.6362,0,1,left,0.2678,,263.6377,263.6385,,0,,263.6398,263.6404,,0,,0,263.6404,263.6404,263.641,265.136,0,6,6,6,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,265.1372,265.1373,265.1387,266.636,1,1,right,0.9652,,266.6371,266.6377,,1,,266.6386,266.6393,,0,,0,266.6393,266.6393,266.6398,268.1359,0,7,7,7,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,268.1363,268.1365,268.1376,268.7193,1,0,right,0.0534,,268.7204,268.721,,0,,268.7219,268.7225,,0,,1,268.7225,268.7226,268.7232,270.2192,0,8,8,8,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,270.2197,270.2197,270.2212,271.2032,1,0,right,0.4499,,271.2043,271.2049,,0,,271.2056,271.2062,,0,,1,271.2063,271.2063,271.2068,272.7024,0,9,9,9,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,272.7027,272.7027,272.704,273.4527,0,1,left,0.2305,,273.4541,273.4549,,1,,273.4558,273.4564,,0,,0,273.4565,273.4565,273.457,274.9522,0,10,10,10,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,274.9529,274.9529,274.9539,275.519,1,0,right,0.0448,,275.5201,275.5207,,0,,275.5217,275.5223,,0,,1,275.5223,275.5223,275.523,277.0189,0,11,11,11,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,277.0193,277.0194,277.0204,277.7857,1,0,right,0.2294,,277.7868,277.7873,,0,,277.7881,277.7887,,0,,1,277.7887,277.7887,277.7891,279.2855,0,12,12,12,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,279.286,279.286,279.2874,280.0687,1,0,right,0.2549,,280.0699,280.0705,,1,,280.0714,280.072,,0,,1,280.072,280.072,280.0725,281.5688,0,13,13,13,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,281.5694,281.5694,281.5706,282.1021,0,1,left,0.0126,,282.1036,282.1042,,1,,282.1049,282.1054,,1,,0,282.1054,282.1054,282.1059,283.6021,0,14,14,14,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,283.6023,283.6023,283.6034,284.5354,0,0,left,0.4126,,284.5363,284.537,,0,,284.5378,284.5383,,1,,1,284.5383,284.5383,284.5387,286.0353,0,15,15,15,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61232b43bd4b37c8d76a7b37,66fc98e64be4c7bfa7ae9960,2024-10-02_02h51.46.753,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,286.0356,286.0356,286.0366,286.8376,0,1,left,0.2822,,286.8387,286.8392,,1,,286.8399,286.8404,,1,,0,286.8404,286.8404,286.8408,288.3352,0,16,16,16,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
