init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0004,0.0019,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0072,99.9224,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,99.9237,148.3302,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,148.332,235.3057,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,235.3071,319.4116,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,319.4122,358.429,y,28.9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq30.csv,358.441,361.1312,space,2.173,,361.1365,361.1367,361.1373,362.2323,0,0,left,0.564,,362.233,362.2359,,1,,362.2364,362.2382,,0,,1,362.2384,362.2386,362.2391,363.733,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,363.7335,363.7335,363.7344,364.7838,0,0,left,0.5244,,364.785,364.7856,,0,,364.7863,364.7868,,0,,1,364.7869,364.7869,364.7873,366.2852,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,366.2857,366.2858,366.2881,367.4365,0,0,left,0.6176,,367.4382,367.4393,,0,,367.4402,367.441,,0,,1,367.4411,367.4411,367.4417,368.9375,0,2,2,2,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,612520bd6605794b27e6a0fd,66fc9797e42fae7a97d1f072,2024-10-02_01h45.39.324,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,368.938,368.938,368.9401,369.8717,0,1,left,0.4074,,369.8728,369.8736,,1,,369.8744,369.8749,,0,,0,369.8749,369.8749,369.8754,371.373,0,3,3,3,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
