init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0003,0.0015,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0046,77.5214,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,77.5224,348.5486,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,348.5496,453.4962,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,453.4972,518.1615,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,518.1621,553.2441,y,25.0511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq21.csv,553.2503,568.8604,space,15.0857,,568.8638,568.864,568.8643,579.777,0,0,left,10.3788,,579.7778,579.7795,,0,,579.7798,579.781,,0,,1,579.7811,579.7812,579.7815,581.2766,0,0,0,0,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,581.2771,581.2773,581.2783,584.1098,0,1,left,2.3007,,584.1113,584.112,,0,,584.1126,584.1132,,0,,0,584.1132,584.1132,584.1138,585.6097,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,585.6102,585.6102,585.6117,589.3265,0,0,left,3.184,,589.3278,589.3286,,0,,589.3292,589.3296,,0,,1,589.3298,589.3298,589.3303,590.8263,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,590.8267,590.8267,590.8282,593.4765,0,0,left,2.121,,593.4776,593.4783,,0,,593.479,593.4796,,0,,1,593.4796,593.4796,593.4801,594.9761,0,3,3,3,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61267b828ead584bcf092e35,66fc9847ad32e9cdf33b34dc,2024-10-02_02h50.38.495,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,594.9766,594.9766,594.978,596.9763,0,0,left,1.4682,,596.9776,596.9783,,1,,596.9791,596.98,,1,,1,596.98,596.98,596.9805,598.4761,0,4,4,4,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
