init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0017,0.0054,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,0.0163,47.0771,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,47.0802,67.7041,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,67.7069,89.3169,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,89.3192,111.3953,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,111.421,153.3549,y,31.8221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq26.csv,153.3659,155.5875,space,1.6936,,155.645,155.6452,155.6463,156.8518,0,0,left,0.63,,156.8534,156.8568,,1,,156.8575,156.8601,,0,,1,156.8603,156.8605,156.861,158.3513,0,0,0,0,1,0.6,0.4,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,158.3526,158.3526,158.354,159.4494,0,0,left,0.5555,,159.4523,159.4537,,1,,159.4548,159.4557,,1,,1,159.4559,159.4559,159.4567,160.9479,0,1,1,1,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,160.949,160.949,160.952,161.9132,0,0,left,0.4143,,161.9155,161.9171,,0,,161.9185,161.9198,,0,,1,161.9199,161.9199,161.9209,163.4112,0,2,2,2,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,163.4124,163.4124,163.4148,164.2772,0,1,left,0.3157,,164.2803,164.2817,,1,,164.2832,164.2844,,1,,0,164.2844,164.2844,164.2854,165.7758,0,3,3,3,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,165.7766,165.7769,165.7791,166.9914,0,0,left,0.6521,,166.994,166.9954,,0,,166.9966,166.9981,,0,,1,166.9981,166.9981,166.9992,168.4738,0,4,4,4,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,168.475,168.4751,168.4776,169.5725,0,0,left,0.5347,,169.5752,169.5769,,0,,169.5781,169.5792,,0,,1,169.5793,169.5793,169.5802,171.0711,0,5,5,5,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,171.072,171.072,171.0752,172.1032,1,0,right,0.4881,,172.1058,172.1072,,0,,172.1085,172.1096,,1,,1,172.1097,172.1097,172.1107,173.6015,0,6,6,6,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,173.6027,173.6028,173.6052,174.5343,0,1,left,0.3879,,174.537,174.5385,,0,,174.5399,174.541,,1,,0,174.5411,174.5411,174.5422,176.0329,0,7,7,7,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,176.0337,176.0339,176.0358,176.899,1,1,right,0.3196,,176.9018,176.9031,,1,,176.9047,176.906,,1,,0,176.9061,176.9062,176.9078,178.3966,0,8,8,8,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,178.3975,178.3975,178.3996,179.2962,0,1,left,0.3477,,179.2988,179.3002,,1,,179.3014,179.3024,,0,,0,179.3025,179.3025,179.3035,180.7946,0,9,9,9,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,180.7957,180.7957,180.7979,181.6945,0,0,left,0.3576,,181.6975,181.6991,,1,,181.7005,181.7016,,0,,1,181.7017,181.7017,181.7032,183.1925,0,10,10,10,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,183.1937,183.1937,183.1955,184.2248,0,0,left,0.4818,,184.2272,184.2285,,1,,184.2294,184.2306,,0,,1,184.2307,184.2307,184.2315,185.7233,0,11,11,11,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,185.7248,185.7248,185.7272,186.6225,0,0,left,0.3432,,186.625,186.6263,,0,,186.6277,186.6288,,0,,1,186.6289,186.6289,186.6298,188.1208,0,12,12,12,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,188.1219,188.1222,188.1242,188.9869,0,0,left,0.3214,,188.9895,188.9913,,0,,188.9926,188.9938,,0,,1,188.9938,188.9938,188.9948,190.4855,0,13,13,13,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,190.4863,190.4863,190.4889,191.4524,0,0,left,0.401,,191.4548,191.4562,,1,,191.4573,191.4585,,1,,1,191.4587,191.4587,191.4597,192.9924,0,14,14,14,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,192.993,192.993,192.9944,194.1155,0,1,left,0.5831,,194.1186,194.1204,,1,,194.1217,194.1227,,1,,0,194.1227,194.1227,194.1237,195.6141,0,15,15,15,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,195.6151,195.6155,195.6175,196.7463,0,1,left,0.5885,,196.7492,196.7505,,1,,196.7518,196.7529,,1,,0,196.753,196.753,196.754,198.2444,0,16,16,16,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,198.2456,198.2456,198.2477,199.2437,0,1,left,0.4457,,199.2471,199.2485,,1,,199.2498,199.2509,,1,,0,199.2509,199.2509,199.2519,200.7426,0,17,17,17,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,200.7434,200.7434,200.7457,201.608,0,1,left,0.3139,,201.6109,201.6123,,0,,201.6134,201.6143,,0,,0,201.6143,201.6143,201.6164,203.1065,0,18,18,18,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,203.1075,203.1075,203.11,204.0727,1,1,right,0.4235,,204.0754,204.0765,,0,,204.0778,204.0787,,0,,0,204.0787,204.0787,204.0795,205.5707,0,19,19,19,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,205.5718,205.5719,205.574,206.7032,0,1,left,0.5709,,206.7057,206.7076,,1,,206.7089,206.7102,,1,,0,206.7102,206.7102,206.7113,208.2016,0,20,20,20,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,208.2024,208.2027,208.2047,209.0013,1,0,right,0.2515,,209.0048,209.0062,,0,,209.0072,209.0083,,0,,1,209.0084,209.0084,209.0102,210.4991,0,21,21,21,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,210.4997,210.4997,210.5015,211.4986,1,0,right,0.4351,,211.5012,211.5025,,0,,211.5036,211.5047,,0,,1,211.5047,211.5047,211.5056,212.9971,0,22,22,22,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,212.9979,212.998,213.0003,213.8631,1,0,right,0.3016,,213.8657,213.867,,1,,213.868,213.8689,,0,,1,213.8691,213.8692,213.8701,215.361,0,23,23,23,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,615e056d45156d8d481b5856,66fc997ecceec9a89d6af203,2024-10-02_03h14.01.024,mdp,2024.2.1,Win32,30.21148036,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,215.3619,215.3622,215.3645,216.2609,1,0,right,0.3349,,216.2638,216.2652,,0,,216.2662,216.2673,,1,,1,216.2673,216.2673,216.2684,217.7593,0,24,24,24,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
