init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.001,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,0.006,10.965,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,10.966,21.438,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,21.439,31.837,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,31.839,43.521,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,,,,,,,,,43.521,54.671,y,1.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq25.csv,54.682,56.877,space,1.677,,56.888,56.888,56.889,58.919,0,0,left,1.489,,58.92,58.924,,1,,58.925,58.928,,0,,1,58.928,58.928,58.929,60.419,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,60.42,60.42,60.422,62.018,0,0,left,1.067,,62.022,62.025,,1,,62.027,62.028,,1,,1,62.029,62.029,62.03,63.518,0,1,1,1,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,63.519,63.519,63.522,65.351,0,0,left,1.302,,65.354,65.356,,1,,65.357,65.36,,1,,1,65.36,65.36,65.36,66.851,0,2,2,2,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64b6b65f87a443a4963be23a,66fc97e3c1597bde9a128c4b,2024-10-02_02h51.39.104,mdp,2024.2.1,Win32,60.0240096,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,66.857,66.857,66.861,68.434,0,1,left,1.048,,68.436,68.439,,1,,68.44,68.442,,0,,0,68.442,68.442,68.443,69.935,0,3,3,3,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
