init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.001,0.0034,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,0.0105,14.1781,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,14.179,24.4321,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,24.4336,35.7537,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,35.7545,47.4597,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,47.4612,81.2755,y,23.7855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq0.csv,81.2926,82.409,space,0.5896,,82.4214,82.4219,82.4234,84.1767,0,0,left,1.2101,,84.1785,84.1838,,0,,84.1853,84.1898,,0,,1,84.1902,84.1907,84.192,85.6942,0,0,0,0,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,85.6955,85.6957,85.6986,86.9103,0,0,left,0.6818,,86.912,86.9132,,0,,86.914,86.9149,,1,,1,86.9149,86.9149,86.9165,88.4116,0,1,1,1,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,88.4125,88.4126,88.4158,89.4278,0,0,left,0.4824,,89.4295,89.4305,,0,,89.4316,89.4331,,0,,1,89.4332,89.4332,89.434,90.929,0,2,2,2,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64e114532a07493224e3a5a1,66fc995d5bc6dc80a61d5245,2024-10-02_13h55.02.994,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,90.9299,90.93,90.933,91.9629,0,1,left,0.5048,,91.9663,91.9688,,0,,91.9715,91.974,,0,,0,91.9742,91.9742,91.9764,93.4635,0,3,3,3,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
