init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0004,0.0037,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,0.0201,63.8551,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,63.8566,98.3559,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,98.3574,123.6862,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,123.6878,147.3348,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,,,,,,,,,147.3355,185.7359,y,28.3469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq46.csv,185.7471,192.9075,space,6.6237,,192.9171,192.9173,192.92,203.1889,1,1,right,9.7088,,203.1898,203.1926,,1,,203.1935,203.1967,,1,,0,203.1971,203.1972,203.1987,204.7002,0,0,0,0,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,204.7009,204.701,204.7026,213.9822,1,0,right,8.7522,,213.9844,213.9867,,0,,213.9886,213.9899,,0,,1,213.99,213.99,213.9912,215.4899,0,1,1,1,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,215.4904,215.4905,215.4935,220.1473,0,0,left,4.1375,,220.1494,220.1508,,0,,220.1529,220.1549,,0,,1,220.1549,220.1549,220.1565,221.6504,0,2,2,2,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65ba49256dc8eda1950b70b3,66fc9aa3d85e6ef54d92db35,2024-10-02_03h06.52.428,mdp,2024.2.1,Win32,48.54368932,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,221.651,221.651,221.653,235.3535,1,0,right,13.1687,,235.3556,235.3568,,0,,235.3583,235.3593,,1,,1,235.3594,235.3594,235.3603,236.8531,0,3,3,3,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
