init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.001,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,0.004,72.527,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,72.529,123.219,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,123.222,173.888,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,173.892,265.925,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,,,,,,,,,265.925,279.842,y,3.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq36.csv,279.85,281.842,space,1.468,,281.849,281.849,281.849,284.376,0,1,left,1.989,,284.376,284.379,,0,,284.38,284.382,,0,,0,284.382,284.382,284.382,285.875,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,285.877,285.877,285.878,287.143,1,1,right,0.734,,287.143,287.145,,0,,287.147,287.148,,1,,0,287.148,287.148,287.149,288.642,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,288.643,288.643,288.644,290.726,1,0,right,1.551,,290.727,290.729,,0,,290.73,290.731,,0,,1,290.732,290.732,290.733,292.226,0,2,2,2,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d8ec51e80934b810623d98,66fc97fab7cdfc8675481a9a,2024-10-01_17h49.47.730,mdp,2024.2.1,Win32,59.95203837,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,292.227,292.227,292.228,293.676,1,0,right,0.918,,293.677,293.679,,0,,293.68,293.682,,0,,1,293.682,293.682,293.683,295.176,0,3,3,3,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
