init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0001,0.0008,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,0.0031,53.6504,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,53.6507,138.1801,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,138.1804,153.7259,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,153.7264,181.9942,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,,,,,,,,,181.9945,277.7811,y,85.6598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq46.csv,277.7832,281.7635,space,3.3855,,281.7655,281.7656,281.7658,283.4631,1,0,right,1.0728,,283.4634,283.4642,,1,,283.4643,283.4651,,0,,1,283.4652,283.4653,283.4655,284.9265,0,0,0,0,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,284.9267,284.9267,284.9273,286.7827,1,0,right,1.2573,,286.7833,286.7838,,1,,286.7842,286.7845,,0,,1,286.7845,286.7845,286.7846,288.2302,0,1,1,1,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,288.2303,288.2303,288.231,290.3426,1,0,right,1.512,,290.3432,290.3435,,0,,290.3438,290.344,,1,,1,290.344,290.344,290.3443,291.862,0,2,2,2,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65dc9f26bed0f87772f68eed,66fc97926f6ca6ee5f33d400,2024-10-01_18h46.12.017,mdp,2024.2.1,Win32,15.01501502,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,291.8622,291.8622,291.8628,293.7742,1,0,right,1.2942,,293.7747,293.7751,,1,,293.7755,293.7758,,0,,1,293.7758,293.7758,293.7761,295.2717,0,3,3,3,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
