init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0003,0.001,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,0.0039,16.1172,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,16.1175,88.9724,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,88.9728,107.7029,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,107.7032,118.2128,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,118.2131,133.704,y,5.4824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq31.csv,133.706,134.7723,space,0.5554,,134.7739,134.7739,134.7741,136.3195,0,0,left,1.0326,,136.3196,136.3209,,0,,136.321,136.3216,,1,,1,136.3217,136.3217,136.3219,137.8176,0,0,0,0,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,137.8179,137.8179,137.8183,138.9831,0,0,left,0.6522,,138.9836,138.984,,0,,138.9843,138.9845,,0,,1,138.9845,138.9845,138.9847,140.4814,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,140.4816,140.4816,140.4823,141.5776,0,0,left,0.5832,,141.5782,141.5787,,0,,141.579,141.5792,,1,,1,141.5792,141.5792,141.5794,143.0761,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,143.0763,143.0763,143.0769,144.1028,0,0,left,0.5175,,144.1034,144.1038,,0,,144.1042,144.1045,,0,,1,144.1045,144.1045,144.1048,145.6012,0,3,3,3,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,145.6014,145.6015,145.6019,146.6003,0,0,left,0.487,,146.6008,146.6013,,0,,146.6015,146.6018,,0,,1,146.6018,146.6018,146.602,148.0985,0,4,4,4,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661094be457866d2fd65a77d,66fcbbf2c7b6d4fa066585b1,2024-10-01_22h21.16.515,mdp,2024.2.1,Win32,147.0588235,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,148.0987,148.0987,148.0994,149.0698,0,0,left,0.4583,,149.0704,149.0708,,0,,149.0711,149.0713,,0,,1,149.0713,149.0713,149.0716,150.5683,0,5,5,5,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
