init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
1E-04,0.0029,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,0.0077,24.6205,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,24.6211,42.9039,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,42.9129,54.3712,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,54.38,66.8882,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,66.8957,79.5719,y,2.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq32.csv,79.5843,82.0892,space,1.9892,,82.0927,82.0927,82.0931,83.4055,1,1,right,0.779,,83.4059,83.407,,1,,83.4073,83.4081,,1,,0,83.4082,83.4082,83.4084,84.9054,0,0,0,0,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,84.9057,84.9057,84.9063,86.1388,0,1,left,0.7109,,86.1397,86.1404,,0,,86.141,86.1414,,1,,0,86.1414,86.1415,86.1419,87.6388,0,1,1,1,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,87.6392,87.6392,87.6405,88.789,0,0,left,0.6262,,88.7898,88.7903,,0,,88.7915,88.792,,0,,1,88.7921,88.7921,88.7926,90.2887,0,2,2,2,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,90.2891,90.2891,90.2901,91.3389,0,0,left,0.5205,,91.3397,91.3403,,0,,91.3408,91.3411,,1,,1,91.3411,91.3411,91.3414,92.839,0,3,3,3,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,92.8394,92.8395,92.8405,93.9224,0,1,left,0.5621,,93.9231,93.9237,,1,,93.9242,93.9244,,1,,0,93.9244,93.9244,93.9251,95.4223,0,4,4,4,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,95.4226,95.4227,95.424,96.4058,0,1,left,0.451,,96.4065,96.407,,1,,96.4075,96.4078,,0,,0,96.4078,96.4078,96.4083,97.9058,0,5,5,5,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,97.9062,97.9062,97.9075,98.9229,0,0,left,0.4953,,98.9237,98.9243,,1,,98.9248,98.9252,,1,,1,98.9252,98.9252,98.9255,100.4224,0,6,6,6,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,661564c766603e80ca4c3184,66db11f1434787354bb66570,2024-09-06_16h36.29.873,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,100.4226,100.4226,100.4235,101.3894,0,1,left,0.4354,,101.3905,101.3911,,0,,101.3917,101.392,,0,,0,101.3921,101.3921,101.3924,102.8893,0,7,7,7,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
