init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.001,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,0.004,44.521,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,44.521,126.267,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,126.274,148.515,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,148.52,170.012,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,170.018,194.034,y,14.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq20.csv,194.043,196.718,space,2.168,,196.72,196.72,196.72,198.762,1,0,right,1.523,,198.763,198.764,,1,,198.764,198.764,,0,,1,198.765,198.765,198.766,200.265,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,200.266,200.266,200.266,201.78,1,1,right,1.004,,201.781,201.781,,1,,201.782,201.782,,0,,0,201.782,201.782,201.782,203.283,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,203.283,203.283,203.284,204.771,1,0,right,0.984,,204.772,204.772,,1,,204.773,204.773,,0,,1,204.773,204.773,204.773,206.274,0,2,2,2,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,206.274,206.274,206.274,207.373,0,0,left,0.593,,207.374,207.374,,0,,207.375,207.375,,1,,1,207.375,207.375,207.375,208.875,0,3,3,3,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,208.875,208.875,208.876,209.744,1,1,right,0.363,,209.745,209.745,,0,,209.745,209.745,,1,,0,209.745,209.745,209.746,211.245,0,4,4,4,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,211.246,211.246,211.246,213.729,1,1,right,1.973,,213.73,213.73,,1,,213.731,213.731,,0,,0,213.731,213.731,213.731,215.231,0,5,5,5,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,215.231,215.231,215.232,216.803,1,1,right,1.067,,216.804,216.804,,1,,216.804,216.805,,1,,0,216.805,216.805,216.805,218.305,0,6,6,6,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,218.305,218.305,218.306,219.098,1,1,right,0.288,,219.099,219.099,,1,,219.1,219.1,,0,,0,219.1,219.1,219.1,220.6,0,7,7,7,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,220.601,220.601,220.602,221.581,0,0,left,0.477,,221.581,221.581,,1,,221.581,221.582,,0,,1,221.582,221.582,221.582,223.077,0,8,8,8,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,223.077,223.077,223.078,225.941,0,0,left,2.35,,225.942,225.942,,1,,225.942,225.943,,0,,1,225.943,225.943,225.943,227.443,0,9,9,9,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,227.444,227.444,227.444,228.375,1,1,right,0.43,,228.376,228.377,,1,,228.377,228.377,,0,,0,228.377,228.377,228.377,229.877,0,10,10,10,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,229.877,229.877,229.878,230.712,0,0,left,0.333,,230.712,230.713,,0,,230.714,230.714,,0,,1,230.714,230.714,230.714,232.214,0,11,11,11,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,232.214,232.214,232.214,233.361,0,1,left,0.645,,233.362,233.363,,0,,233.363,233.363,,1,,0,233.363,233.363,233.363,234.864,0,12,12,12,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,234.865,234.865,234.865,235.427,1,0,right,0.049,,235.429,235.429,,0,,235.43,235.43,,0,,1,235.43,235.43,235.43,236.929,0,13,13,13,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,236.929,236.929,236.93,237.904,1,1,right,0.467,,237.904,237.904,,0,,237.904,237.905,,1,,0,237.905,237.905,237.906,239.405,0,14,14,14,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,239.406,239.406,239.406,240.17,0,1,left,0.259,,240.171,240.171,,1,,240.171,240.171,,1,,0,240.171,240.171,240.171,241.672,0,15,15,15,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,241.673,241.673,241.674,242.473,0,1,left,0.292,,242.473,242.473,,1,,242.473,242.473,,1,,0,242.473,242.473,242.473,243.975,0,16,16,16,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66159b3aa54492fae356f2d1,66fc9a4bd1cbeb8e180b8272,2024-10-02_03h58.47.557,mdp,2024.2.1,Win32,166.6666667,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,243.975,243.975,243.975,246.931,1,0,right,2.448,,246.936,246.937,,0,,246.937,246.937,,1,,1,246.937,246.937,246.937,248.439,0,17,17,17,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
