init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0011,0.0034,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,0.0098,47.0899,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,47.0911,58.1969,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,58.1976,76.9295,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,76.942,88.2126,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,88.2239,116.2946,y,15.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq12.csv,116.3133,117.762,space,0.9232,,117.7735,117.7737,117.7744,120.3618,0,0,left,2.0538,,120.3729,120.3757,,1,,120.3767,120.3786,,1,,1,120.3788,120.379,120.3794,121.8776,0,0,0,0,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,121.8781,121.8781,121.8796,123.7968,0,0,left,1.3729,,123.7986,123.8,,0,,123.8014,123.8026,,0,,1,123.8027,123.8027,123.8038,125.294,0,1,1,1,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,125.2943,125.2944,125.2959,126.5607,0,1,left,0.7262,,126.5643,126.5672,,0,,126.5692,126.5704,,1,,0,126.5706,126.5707,126.5717,128.0601,0,2,2,2,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,128.0606,128.0606,128.0622,129.2108,0,0,left,0.6186,,129.2123,129.2135,,0,,129.2147,129.2157,,0,,1,129.2158,129.2158,129.2167,130.7106,0,3,3,3,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,130.711,130.7111,130.7131,132.0433,1,1,right,0.8022,,132.045,132.0461,,0,,132.0472,132.0481,,0,,0,132.0482,132.0482,132.049,133.5443,0,4,4,4,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66301c9c390de66737e2ae4c,66fc99e54ca15917b8ae9c8b,2024-10-01_20h57.57.012,mdp,2024.2.1,Linux x86_64,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,133.5451,133.5451,133.5479,134.9433,0,0,left,0.874,,134.9448,134.9462,,1,,134.9472,134.9485,,0,,1,134.9486,134.9486,134.9495,136.4434,0,5,5,5,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
