init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0011,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0037,33.137,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,33.1384,64.0508,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,64.0682,94.2824,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,94.3014,116.7641,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,116.7732,128.3308,y,1.5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq34.csv,128.3386,130.6136,space,1.7504,,130.619,130.6192,130.6197,145.5305,1,1,right,14.3757,,145.5494,145.5519,,1,,145.5524,145.554,,1,,0,145.5542,145.5543,145.5547,147.0463,0,0,0,0,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,147.047,147.047,147.0486,148.3122,0,0,left,0.7329,,148.314,148.3159,,1,,148.3169,148.3177,,0,,1,148.3177,148.3177,148.3184,149.812,0,1,1,1,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,149.8125,149.8125,149.814,151.1456,0,0,left,0.8089,,151.1471,151.1488,,1,,151.1498,151.1506,,1,,1,151.1507,151.1507,151.1513,152.6455,0,2,2,2,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6630ec3fa1752b4b2743c4cc,66fc98e9756f264e9ca11909,2024-10-01_21h52.09.193,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,152.6461,152.6462,152.6484,153.6457,0,1,left,0.4683,,153.6475,153.6492,,0,,153.6502,153.651,,0,,0,153.651,153.651,153.6517,155.1453,0,3,3,3,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
