init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.002,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,0.005,38.609,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,38.609,85.165,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,85.166,130.254,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,130.261,198.088,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,,,,,,,,,198.088,221.407,y,13.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq43.csv,221.42,222.588,space,0.662,,222.589,222.589,222.589,227.108,0,0,left,4.001,,227.109,227.11,,0,,227.11,227.111,,1,,1,227.111,227.111,227.111,228.608,0,0,0,0,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,228.608,228.608,228.61,234.748,0,0,left,5.635,,234.753,234.753,,0,,234.753,234.754,,1,,1,234.754,234.754,234.755,236.254,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,236.254,236.254,236.255,237.803,0,1,left,1.041,,237.803,237.804,,0,,237.804,237.804,,1,,0,237.804,237.804,237.805,239.302,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,666c6160d7613a472a88bc12,66fc97825bc6dc80a61d51bd,2024-10-02_02h54.52.878,mdp,2024.2.1,Win32,142.8571429,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,239.303,239.303,239.304,240.442,1,1,right,0.632,,240.442,240.442,,0,,240.443,240.444,,1,,0,240.444,240.444,240.444,241.942,0,3,3,3,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
