init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0001,0.0019,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,0.0083,53.1393,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,53.1415,69.2605,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,69.263,110.2962,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,110.2984,140.1722,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,140.1737,165.7035,y,15.5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq25.csv,165.7228,168.7873,space,2.5537,,168.8071,168.8081,168.8098,175.3253,1,1,right,5.9707,,175.3278,175.3365,,1,,175.3379,175.3446,,0,,0,175.3453,175.3456,175.3474,176.8384,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,176.8415,176.8416,176.8447,180.0049,1,0,right,2.6508,,180.0087,180.0106,,0,,180.0124,180.0146,,0,,1,180.0147,180.0148,180.0169,181.5112,0,1,1,1,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,181.5122,181.5122,181.5164,183.489,0,0,left,1.4601,,183.492,183.4939,,0,,183.4956,183.4975,,1,,1,183.4977,183.4977,183.4991,184.9924,0,2,2,2,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66715c98b42ef93f2389ce3f,66fc99c266b2bce0bebea4c5,2024-10-01_17h58.21.726,mdp,2024.2.1,Win32,119.047619,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,184.9941,184.9941,184.9978,187.4551,1,0,right,1.9432,,187.4596,187.4612,,0,,187.4636,187.4654,,1,,1,187.4655,187.4655,187.4674,188.9671,0,3,3,3,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
