init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0005,0.0042,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0917,23.9386,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,23.9404,41.3835,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,41.3862,63.7007,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,63.7035,86.5681,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,86.5695,422.3437,y,325.6907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq23.csv,422.3625,426.7598,space,3.868,,426.7694,426.7696,426.7706,620.3991,1,0,right,192.9637,,620.4012,620.4054,,0,,620.4062,620.4094,,1,,1,620.4096,620.4099,620.4106,621.9049,0,0,0,0,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,621.9065,621.9065,621.9083,622.4989,0,1,left,0.0593,,622.5023,622.5037,,1,,622.5054,622.5069,,0,,0,622.507,622.507,622.5085,623.9984,0,1,1,1,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,623.9998,623.9998,624.0034,628.3317,0,1,left,3.8018,,628.3349,628.3369,,1,,628.3384,628.3399,,1,,0,628.3401,628.3401,628.3415,629.8314,0,2,2,2,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6672d9dfb3878b6f6c5fa763,66fc9871dd51ea4de981dbf1,2024-10-02_02h51.11.589,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,629.8327,629.8328,629.8364,653.8494,1,0,right,23.4862,,653.8529,653.8546,,0,,653.8562,653.8576,,0,,1,653.8578,653.8578,653.8591,655.3571,0,3,3,3,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
