init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0011,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,0.0047,16.0129,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,16.0133,27.5596,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,27.5608,38.3407,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,38.3421,49.073,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,49.0739,76.586,y,17.4649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq18.csv,76.5882,78.119,space,0.9998,,78.1212,78.1212,78.1213,110.5642,0,1,left,31.9041,,110.5647,110.5659,,1,,110.5662,110.567,,1,,0,110.5671,110.5671,110.5672,112.0629,0,0,0,0,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,112.0641,112.0641,112.0649,113.113,1,0,right,0.5168,,113.1143,113.1148,,0,,113.1151,113.1153,,0,,1,113.1153,113.1153,113.1154,114.6122,0,1,1,1,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,114.6137,114.6138,114.6147,115.8286,1,0,right,0.6837,,115.8303,115.8308,,0,,115.8311,115.8313,,0,,1,115.8314,115.8314,115.8315,117.3285,0,2,2,2,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,117.3297,117.3298,117.3309,118.4783,1,0,right,0.6255,,118.4802,118.4806,,0,,118.4809,118.4812,,0,,1,118.4812,118.4812,118.4814,119.9776,0,3,3,3,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,119.9784,119.9784,119.98,120.9119,1,0,right,0.4004,,120.9132,120.9137,,0,,120.914,120.9143,,1,,1,120.9143,120.9143,120.9145,122.4112,0,4,4,4,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,122.4125,122.4125,122.4136,123.2606,1,0,right,0.3203,,123.2626,123.2629,,0,,123.2633,123.2636,,0,,1,123.2636,123.2636,123.2638,124.7601,0,5,5,5,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,124.7607,124.7608,124.7626,125.6439,1,1,right,0.3543,,125.6456,125.646,,0,,125.6463,125.6466,,1,,0,125.6467,125.6467,125.6468,127.1438,0,6,6,6,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667783ecd51176477fc57977,66fc998046fcc5b0e60e50d4,2024-10-02_09h54.55.563,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,127.1451,127.1451,127.1459,127.9596,0,1,left,0.29,,127.9615,127.9619,,1,,127.9623,127.9626,,1,,0,127.9626,127.9626,127.9627,129.46,0,7,7,7,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
