init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.001,0.002,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,0.009,31.537,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,31.538,43.487,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,43.487,55.438,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,55.44,66.055,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,66.059,76.872,y,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq45.csv,76.88,79.356,space,1.95,,79.362,79.362,79.363,82.188,0,0,left,2.292,,82.189,82.191,,0,,82.191,82.193,,0,,1,82.193,82.193,82.194,83.689,0,0,0,0,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,83.69,83.69,83.692,85.772,0,1,left,1.55,,85.774,85.777,,0,,85.779,85.781,,1,,0,85.781,85.781,85.782,87.272,0,1,1,1,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,87.273,87.273,87.275,88.789,0,0,left,0.985,,88.791,88.795,,0,,88.797,88.798,,0,,1,88.798,88.798,88.798,90.289,0,2,2,2,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,90.29,90.29,90.291,91.305,1,0,right,0.482,,91.31,91.311,,1,,91.313,91.314,,0,,1,91.314,91.314,91.314,92.806,0,3,3,3,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,92.807,92.808,92.81,93.756,0,1,left,0.419,,93.758,93.76,,0,,93.761,93.762,,0,,0,93.762,93.762,93.763,95.256,0,4,4,4,1,0.6,0.4,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,95.257,95.257,95.258,96.422,0,1,left,0.635,,96.424,96.427,,0,,96.429,96.43,,1,,0,96.43,96.43,96.43,97.922,0,5,5,5,1,0.6,0.4,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,97.923,97.923,97.925,98.756,0,0,left,0.307,,98.757,98.759,,0,,98.76,98.762,,1,,1,98.762,98.762,98.762,100.256,0,6,6,6,1,0.6,0.4,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,100.257,100.257,100.259,101.072,1,0,right,0.284,,101.074,101.077,,1,,101.078,101.08,,0,,1,101.08,101.08,101.081,102.572,0,7,7,7,1,0.6,0.4,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,102.573,102.574,102.576,103.389,1,0,right,0.289,,103.392,103.394,,0,,103.395,103.396,,0,,1,103.396,103.396,103.397,104.889,0,8,8,8,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,104.89,104.89,104.892,105.972,1,1,right,0.559,,105.974,105.976,,0,,105.977,105.978,,0,,0,105.978,105.978,105.979,107.473,0,9,9,9,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6681e779f60d20a3b2b27bb3,66fc97fb6b85299257412df2,2024-10-01_21h47.32.747,mdp,2024.2.1,MacIntel,32.25806452,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,107.474,107.474,107.475,108.323,1,0,right,0.324,,108.324,108.327,,0,,108.327,108.328,,0,,1,108.328,108.328,108.329,109.823,0,10,10,10,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
