init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0009,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,0.0031,86.0124,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,86.0128,99.9909,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,99.996,140.3935,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,140.3986,153.9489,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,,,,,,,,,153.9538,164.5948,y,0.6314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq42.csv,164.6013,166.8239,space,1.7191,,166.8254,166.8255,166.8257,168.2683,1,1,right,0.9275,,168.2686,168.2695,,1,,168.2697,168.2702,,0,,0,168.2703,168.2703,168.2704,169.7685,0,0,0,0,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,169.7687,169.7688,169.7693,171.0042,0,0,left,0.7221,,171.0049,171.0052,,0,,171.0055,171.0057,,0,,1,171.0058,171.0058,171.0059,172.5043,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,172.5045,172.5045,172.5053,173.7126,0,1,left,0.6975,,173.7131,173.7135,,0,,173.7138,173.714,,1,,0,173.714,173.714,173.7142,175.2129,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668946f774f64ae752e01a90,66daf5b985de1527582d9a60,2024-09-06_14h30.43.345,mdp,2024.2.1,Win32,142.8571429,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,175.2131,175.2131,175.214,177.5111,1,1,right,1.7895,,177.5119,177.5122,,1,,177.5126,177.5127,,0,,0,177.5127,177.5128,177.5129,179.0111,0,3,3,3,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
