init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0002,0.0014,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,0.0068,24.5592,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,24.5599,63.3032,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,63.331,93.6218,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,93.6377,134.8576,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,134.8685,191.2468,y,46.3523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq46.csv,191.2728,199.8649,space,8.0679,,199.8988,199.8992,199.9,233.0518,1,0,right,32.6066,,233.0815,233.0842,,1,,233.0848,233.0867,,0,,1,233.0869,233.0872,233.0877,234.583,0,0,0,0,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,234.5849,234.5851,234.5886,247.5832,1,0,right,12.4671,,247.6003,247.602,,0,,247.6031,247.6053,,0,,1,247.6054,247.6054,247.6065,249.0994,0,1,1,1,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,249.1,249.1001,249.1024,253.5009,1,0,right,3.8685,,253.5272,253.5287,,0,,253.5302,253.5314,,0,,1,253.5315,253.5315,253.533,255.0225,0,2,2,2,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,668bf5474a2939ef58354d28,66daf5c8293a61708caf6c4b,2024-09-06_13h32.12.162,mdp,2024.2.1,Win32,60.60606061,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,255.024,255.0241,255.0303,263.1509,1,0,right,7.598,,263.1714,263.1722,,0,,263.1732,263.174,,1,,1,263.174,263.174,263.1748,264.6679,0,3,3,3,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
