init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.002,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,0.006,47.58,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,47.588,65.476,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,65.478,126.616,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,126.627,271.017,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,271.017,344.668,y,63.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq20.csv,344.69,351.73,space,6.518,,351.737,351.738,351.738,364.996,1,0,right,12.714,,364.997,365.004,,1,,365.005,365.013,,0,,1,365.013,365.013,365.014,366.508,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,366.511,366.511,366.513,371.628,1,1,right,4.587,,371.635,371.645,,0,,371.647,371.655,,1,,0,371.655,371.655,371.657,373.157,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,373.16,373.16,373.168,375.244,1,0,right,1.552,,375.247,375.254,,1,,375.257,375.26,,0,,1,375.261,375.261,375.263,376.758,0,2,2,2,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,376.76,376.76,376.761,379.225,0,0,left,1.943,,379.228,379.233,,1,,379.235,379.24,,0,,1,379.24,379.24,379.242,380.738,0,3,3,3,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,380.74,380.741,380.744,382.459,0,0,left,1.159,,382.462,382.467,,0,,382.47,382.475,,1,,1,382.475,382.475,382.476,383.97,0,4,4,4,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,383.975,383.975,383.977,385.71,1,0,right,1.211,,385.712,385.716,,1,,385.722,385.727,,1,,1,385.727,385.727,385.729,387.22,0,5,5,5,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,387.224,387.224,387.226,389.357,1,0,right,1.607,,389.359,389.364,,0,,389.366,389.375,,1,,1,389.376,389.376,389.377,390.874,0,6,6,6,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,390.875,390.875,390.877,392.5,1,1,right,1.108,,392.506,392.51,,1,,392.514,392.519,,0,,0,392.519,392.519,392.521,394.019,0,7,7,7,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,394.022,394.022,394.024,395.941,1,0,right,1.394,,395.942,395.947,,1,,395.95,395.954,,1,,1,395.955,395.955,395.957,397.452,0,8,8,8,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,397.453,397.453,397.454,398.653,1,0,right,0.682,,398.656,398.66,,0,,398.666,398.672,,1,,1,398.672,398.672,398.673,400.17,0,9,9,9,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,400.171,400.171,400.173,401.651,0,1,left,0.953,,401.655,401.66,,0,,401.662,401.667,,1,,0,401.667,401.667,401.669,403.168,0,10,10,10,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,403.171,403.171,403.173,404.138,0,0,left,0.43,,404.153,404.16,,1,,404.163,404.167,,1,,1,404.168,404.168,404.171,405.667,0,11,11,11,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,405.672,405.672,405.675,407.188,1,0,right,0.986,,407.19,407.201,,0,,407.206,407.211,,1,,1,407.211,407.211,407.214,408.699,0,12,12,12,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,408.703,408.703,408.705,409.97,1,0,right,0.737,,409.973,409.983,,1,,409.985,409.991,,0,,1,409.991,409.991,409.997,411.484,0,13,13,13,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,411.487,411.487,411.488,413.335,1,0,right,1.32,,413.337,413.342,,0,,413.344,413.353,,0,,1,413.353,413.353,413.355,414.849,0,14,14,14,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,414.851,414.851,414.853,416.215,1,0,right,0.838,,416.22,416.225,,0,,416.226,416.233,,0,,1,416.234,416.234,416.235,417.731,0,15,15,15,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,417.735,417.735,417.736,419.07,1,0,right,0.815,,419.072,419.077,,0,,419.085,419.089,,0,,1,419.089,419.089,419.09,420.581,0,16,16,16,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,420.584,420.584,420.586,422.065,1,0,right,0.955,,422.068,422.074,,0,,422.076,422.08,,1,,1,422.08,422.081,422.083,423.579,0,17,17,17,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,423.58,423.58,423.585,425.133,1,0,right,1.024,,425.136,425.14,,1,,425.146,425.15,,0,,1,425.15,425.15,425.152,426.645,0,18,18,18,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,426.646,426.646,426.647,428.079,1,0,right,0.904,,428.084,428.087,,0,,428.089,428.095,,0,,1,428.096,428.096,428.097,429.596,0,19,19,19,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,429.598,429.599,429.601,431.146,1,0,right,1.019,,431.15,431.154,,0,,431.156,431.16,,0,,1,431.16,431.16,431.162,432.664,0,20,20,20,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,432.665,432.666,432.667,434.197,1,0,right,1.009,,434.2,434.204,,0,,434.206,434.213,,0,,1,434.213,434.213,434.214,435.714,0,21,21,21,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,435.715,435.715,435.717,437.165,1,0,right,0.926,,437.166,437.171,,1,,437.173,437.178,,1,,1,437.179,437.179,437.18,438.681,0,22,22,22,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,438.685,438.685,438.691,439.529,1,0,right,0.321,,439.532,439.535,,1,,439.537,439.538,,0,,1,439.539,439.539,439.549,441.046,0,23,23,23,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,441.048,441.048,441.051,442.261,1,1,right,0.686,,442.265,442.272,,0,,442.276,442.28,,1,,0,442.281,442.281,442.283,443.782,0,24,24,24,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,443.783,443.783,443.785,446.415,0,1,left,2.107,,446.417,446.426,,0,,446.429,446.433,,0,,0,446.433,446.433,446.435,447.927,0,25,25,25,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,447.93,447.933,447.934,448.964,1,1,right,0.497,,448.974,448.979,,1,,448.983,448.987,,0,,0,448.988,448.988,448.99,450.494,0,26,26,26,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,450.495,450.495,450.497,451.528,1,0,right,0.508,,451.531,451.535,,1,,451.537,451.544,,0,,1,451.544,451.544,451.545,453.047,0,27,27,27,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,453.048,453.048,453.049,454.161,1,1,right,0.591,,454.163,454.169,,1,,454.172,454.179,,1,,0,454.179,454.179,454.18,455.679,0,28,28,28,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,455.68,455.68,455.682,457.11,0,0,left,0.903,,457.112,457.117,,1,,457.119,457.126,,1,,1,457.126,457.126,457.127,458.625,0,29,29,29,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,458.627,458.627,458.628,459.927,0,0,left,0.771,,459.928,459.937,,0,,459.939,459.944,,0,,1,459.944,459.944,459.946,461.44,0,30,30,30,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,461.443,461.443,461.444,462.458,0,0,left,0.488,,462.462,462.466,,0,,462.468,462.475,,0,,1,462.475,462.475,462.476,463.974,0,31,31,31,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,463.976,463.976,463.978,464.961,0,0,left,0.464,,464.963,464.967,,1,,464.971,464.975,,1,,1,464.975,464.975,464.977,466.473,0,32,32,32,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,466.475,466.475,466.477,467.494,0,0,left,0.498,,467.495,467.499,,1,,467.504,467.508,,1,,1,467.508,467.508,467.509,469.009,0,33,33,33,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,469.01,469.01,469.014,470.305,0,0,left,0.771,,470.309,470.313,,0,,470.316,470.321,,0,,1,470.321,470.321,470.323,471.821,0,34,34,34,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,471.824,471.824,471.825,472.875,0,1,left,0.539,,472.877,472.882,,1,,472.886,472.891,,0,,0,472.891,472.891,472.892,474.388,0,35,35,35,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,669f5d4b56cd9e5a3615a8ed,66db1634c8e1dedad0e5f137,2024-09-06_16h52.07.325,mdp,2024.2.1,Win32,60.0240096,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,474.389,474.389,474.392,475.243,1,1,right,0.32,,475.245,475.248,,1,,475.251,475.255,,0,,0,475.255,475.255,475.257,476.756,0,36,36,36,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
