init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0005,0.0038,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,0.0118,40.4477,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,40.4488,52.9522,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,52.9532,71.7808,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,71.7815,92.1818,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,92.1822,134.6717,y,32.4647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq36.csv,134.6794,145.3356,space,10.1234,,145.3409,145.3411,145.3416,223.2986,1,1,right,77.4193,,223.2995,223.3035,,1,,223.3041,223.3061,,1,,0,223.3064,223.3064,223.3074,224.8009,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,224.8015,224.8016,224.8034,227.8667,1,1,right,2.5393,,227.8684,227.8695,,0,,227.8709,227.8723,,1,,0,227.8724,227.8724,227.8736,229.3671,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,229.3676,229.3676,229.3701,231.7001,0,0,left,1.8033,,231.7018,231.7035,,1,,231.705,231.7061,,1,,1,231.7061,231.7062,231.7074,233.202,0,2,2,2,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,233.2024,233.2024,233.2048,234.5889,1,1,right,0.8612,,234.5903,234.5914,,1,,234.5924,234.5933,,1,,0,234.5933,234.5933,234.5942,236.0865,0,3,3,3,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,236.0868,236.0868,236.0884,236.7233,0,1,left,0.111,,236.725,236.7261,,1,,236.7272,236.7282,,1,,0,236.7283,236.7283,236.7292,238.2207,0,4,4,4,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,238.2214,238.2214,238.2236,239.4545,0,1,left,0.7024,,239.4561,239.4572,,1,,239.4585,239.4599,,0,,0,239.46,239.46,239.4609,240.9549,0,5,5,5,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,240.9555,240.9555,240.9576,241.9235,0,0,left,0.4428,,241.9251,241.9261,,0,,241.9275,241.9286,,1,,1,241.9287,241.9287,241.9297,243.4225,0,6,6,6,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,243.4232,243.4232,243.4257,244.162,0,1,left,0.2304,,244.1634,244.1643,,0,,244.1655,244.1664,,1,,0,244.1664,244.1665,244.1673,245.6566,0,7,7,7,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,245.6571,245.6572,245.6586,246.4424,0,1,left,0.2525,,246.4447,246.446,,0,,246.4474,246.4483,,0,,0,246.4484,246.4484,246.4494,247.9427,0,8,8,8,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,247.9433,247.9433,247.945,249.2249,1,0,right,0.7528,,249.2263,249.2275,,1,,249.2287,249.2314,,0,,1,249.2315,249.2315,249.2327,250.7253,0,9,9,9,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,250.7257,250.7257,250.7272,251.8279,1,1,right,0.5768,,251.8293,251.8305,,0,,251.8315,251.8325,,0,,0,251.8325,251.8325,251.8334,253.3263,0,10,10,10,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,253.3268,253.3268,253.3284,254.4272,1,1,right,0.5694,,254.4286,254.4297,,0,,254.4308,254.4319,,0,,0,254.432,254.432,254.4329,255.9272,0,11,11,11,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,255.9281,255.9281,255.9298,257.0282,1,0,right,0.5702,,257.0297,257.0307,,0,,257.0317,257.0329,,0,,1,257.033,257.033,257.0339,258.5283,0,12,12,12,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,258.5288,258.5288,258.5304,259.6824,0,1,left,0.6288,,259.6842,259.6852,,1,,259.6865,259.6874,,0,,0,259.6875,259.6875,259.6883,261.1794,0,13,13,13,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,261.1802,261.1802,261.1823,261.8967,0,1,left,0.186,,261.8983,261.901,,0,,261.9023,261.9034,,1,,0,261.9034,261.9034,261.9044,263.3968,0,14,14,14,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,263.3973,263.3973,263.399,264.3807,0,1,left,0.4521,,264.3826,264.3837,,0,,264.3847,264.3858,,1,,0,264.3858,264.3858,264.3867,265.881,0,15,15,15,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,265.8815,265.8815,265.8838,266.7149,0,0,left,0.3206,,266.7164,266.7175,,1,,266.7186,266.72,,1,,1,266.72,266.72,266.721,268.2172,0,16,16,16,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,268.2178,268.2178,268.2193,270.0551,0,0,left,1.3145,,270.0563,270.0572,,0,,270.0592,270.0603,,0,,1,270.0603,270.0603,270.0616,271.5519,0,17,17,17,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a4f41f0a2e0870ee52c6bf,66fce17372fc934423701e26,2024-10-02_08h02.45.818,mdp,2024.2.1,Win32,60.24096386,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,271.5524,271.5524,271.5542,272.9841,1,1,right,0.904,,272.9862,272.9873,,1,,272.9884,272.9897,,1,,0,272.9897,272.9897,272.9912,274.4849,0,18,18,18,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
