init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0.003,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,0.004,39.709,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,39.71,50.181,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,50.182,60.589,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,60.59,71.239,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,,,,,,,,,71.239,97.003,y,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq13.csv,97.008,98.99,space,1.476,,98.993,98.993,98.993,100.362,0,1,left,0.856,,100.363,100.364,,0,,100.364,100.365,,0,,0,100.366,100.366,100.366,101.864,0,0,0,0,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,101.865,101.865,101.866,102.965,1,0,right,0.59,,102.966,102.968,,1,,102.968,102.969,,1,,1,102.969,102.969,102.969,104.468,0,1,1,1,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,104.468,104.468,104.469,105.423,1,0,right,0.444,,105.423,105.424,,0,,105.426,105.426,,1,,1,105.426,105.426,105.428,106.926,0,2,2,2,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66a63fd5eae42f430895d7bf,66dafa53e232ed557fef725a,2024-09-06_14h49.40.751,mdp,2024.2.1,Win32,144.5086705,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,106.926,106.926,106.926,108.063,1,1,right,0.623,,108.063,108.064,,1,,108.065,108.065,,0,,0,108.065,108.065,108.065,109.564,0,3,3,3,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
