init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0005,0.0044,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,0.0129,12.2156,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,12.2173,38.7905,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,38.7929,63.9019,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,63.9035,88.5437,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,88.5448,101.907,y,3.3358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq27.csv,101.9145,104.2564,space,1.8221,,104.2624,104.2626,104.2632,113.704,0,0,left,8.9039,,113.706,113.709,,0,,113.7095,113.7125,,1,,1,113.7127,113.7128,113.7132,115.2032,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,115.2047,115.2048,115.2066,117.5358,0,0,left,1.8013,,117.5387,117.5399,,1,,117.541,117.5423,,0,,1,117.5423,117.5423,117.5433,119.0353,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,119.0369,119.0369,119.0397,122.3176,0,1,left,2.7587,,122.3204,122.3216,,0,,122.3228,122.3241,,0,,0,122.3242,122.3242,122.3252,123.8167,0,2,2,2,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,123.8186,123.8186,123.8216,128.1989,1,0,right,3.8502,,128.2025,128.2037,,1,,128.2049,128.2061,,1,,1,128.2061,128.2061,128.2072,129.6988,0,3,3,3,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,129.7005,129.7005,129.7025,133.5642,0,0,left,3.3343,,133.568,133.5693,,1,,133.5707,133.572,,0,,1,133.572,133.5721,133.5732,135.0635,0,4,4,4,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,135.0654,135.0655,135.0675,137.9815,0,1,left,2.3839,,137.9836,137.9847,,1,,137.9858,137.987,,1,,0,137.9871,137.9871,137.9882,139.4798,0,5,5,5,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,139.4812,139.4814,139.4834,143.1457,1,1,right,3.1335,,143.1487,143.1502,,1,,143.1515,143.1527,,0,,0,143.1528,143.1528,143.1538,144.6442,0,6,6,6,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,144.6459,144.6459,144.6481,145.9448,1,1,right,0.7684,,145.9476,145.9487,,1,,145.9498,145.9509,,1,,0,145.951,145.951,145.9519,147.4437,0,7,7,7,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,147.4456,147.4458,147.4477,150.5603,0,0,left,2.5843,,150.5631,150.5642,,1,,150.5655,150.5666,,1,,1,150.5667,150.5667,150.5679,152.0592,0,8,8,8,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,152.0603,152.0604,152.0629,155.6922,0,0,left,3.1,,155.6949,155.6963,,0,,155.6975,155.7002,,0,,1,155.7004,155.7004,155.7021,157.1913,0,9,9,9,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,157.1925,157.1926,157.1951,160.1068,0,0,left,2.4079,,160.1097,160.1112,,0,,160.1127,160.1138,,0,,1,160.1139,160.1139,160.1149,161.6072,0,10,10,10,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,161.6085,161.6085,161.6102,163.7567,0,0,left,1.6193,,163.7592,163.7605,,0,,163.7619,163.7631,,1,,1,163.7631,163.7631,163.7641,165.2548,0,11,11,11,1,0.6,0.4,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,165.2561,165.2562,165.2589,167.0056,0,1,left,1.2178,,167.0083,167.0093,,0,,167.0106,167.0116,,0,,0,167.0116,167.0116,167.0131,168.5043,0,12,12,12,1,0.6,0.4,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,168.5054,168.5055,168.5079,171.1704,0,0,left,2.1338,,171.1735,171.1748,,1,,171.1765,171.1777,,0,,1,171.1777,171.1777,171.1792,172.6698,0,13,13,13,1,0.6,0.4,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,172.6717,172.6717,172.6736,175.0863,0,0,left,1.8846,,175.089,175.0901,,0,,175.0915,175.0927,,0,,1,175.0927,175.0927,175.0938,176.5851,0,14,14,14,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,176.588,176.588,176.5901,178.769,0,1,left,1.6588,,178.7717,178.7728,,0,,178.7739,178.7751,,1,,0,178.7751,178.7751,178.7762,180.2681,0,15,15,15,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,180.2693,180.2693,180.2717,181.5179,0,1,left,0.7173,,181.5209,181.5222,,0,,181.5234,181.5245,,0,,0,181.5245,181.5245,181.5255,183.0174,0,16,16,16,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,183.019,183.019,183.0214,184.934,0,0,left,1.3865,,184.9371,184.9381,,0,,184.9393,184.9406,,1,,1,184.9406,184.9406,184.9418,186.4333,0,17,17,17,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,186.4344,186.4344,186.4371,187.8338,0,1,left,0.8714,,187.8366,187.8378,,0,,187.8391,187.8402,,0,,0,187.8404,187.8404,187.842,189.3325,0,18,18,18,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,189.3345,189.3346,189.3365,190.883,0,0,left,1.0219,,190.8854,190.8866,,1,,190.888,190.889,,0,,1,190.889,190.889,190.8902,192.3815,0,19,19,19,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,192.3836,192.3836,192.3853,193.9816,0,1,left,1.0778,,193.9849,193.9869,,1,,193.9882,193.9894,,1,,0,193.9895,193.9895,193.9905,195.4814,0,20,20,20,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,195.483,195.483,195.4846,196.9142,0,1,left,0.9012,,196.9172,196.9183,,1,,196.9193,196.9205,,1,,0,196.9206,196.9206,196.9217,198.4165,0,21,21,21,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,198.417,198.417,198.4184,199.2804,1,0,right,0.3368,,199.2831,199.2841,,0,,199.2852,199.2862,,0,,1,199.2862,199.2862,199.2873,200.7793,0,22,22,22,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,200.7812,200.7812,200.783,202.7964,1,0,right,1.4848,,202.7993,202.8007,,0,,202.8019,202.8031,,0,,1,202.8031,202.8031,202.804,204.2943,0,23,23,23,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,204.2957,204.2957,204.2982,205.8619,0,1,left,1.0388,,205.8646,205.8656,,1,,205.8668,205.8678,,1,,0,205.8678,205.8678,205.8688,207.3608,0,24,24,24,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,207.3627,207.3627,207.3644,209.6608,1,0,right,1.7709,,209.6641,209.6654,,1,,209.6667,209.6677,,0,,1,209.6679,209.6679,209.6696,211.1596,0,25,25,25,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,211.1616,211.1617,211.1636,213.3431,1,0,right,1.6512,,213.3462,213.3475,,1,,213.3488,213.3504,,0,,1,213.3505,213.3505,213.3516,214.8429,0,26,26,26,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,214.8441,214.8441,214.8462,217.1254,1,1,right,1.7614,,217.1282,217.1301,,1,,217.1311,217.1324,,0,,0,217.1325,217.1325,217.1342,218.6247,0,27,27,27,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,218.6259,218.6259,218.6282,219.9583,0,0,left,0.8031,,219.9608,219.9621,,0,,219.9633,219.9642,,0,,1,219.9643,219.9643,219.9652,221.4568,0,28,28,28,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,221.4585,221.4585,221.461,223.5573,0,0,left,1.5726,,223.5598,223.5609,,0,,223.5624,223.5634,,0,,1,223.5635,223.5635,223.5644,225.0568,0,29,29,29,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,225.0581,225.0581,225.0598,226.023,1,1,right,0.4445,,226.0269,226.028,,1,,226.0292,226.0301,,1,,0,226.0302,226.0302,226.0312,227.5226,0,30,30,30,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,227.524,227.524,227.5258,228.6226,0,0,left,0.5744,,228.6252,228.6263,,1,,228.6274,228.6285,,0,,1,228.6285,228.6285,228.6297,230.1216,0,31,31,31,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,230.1234,230.1234,230.1254,231.2717,0,0,left,0.6183,,231.2744,231.2755,,0,,231.2767,231.2777,,0,,1,231.2778,231.2778,231.2787,232.7706,0,32,32,32,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,232.7725,232.7725,232.7744,233.6546,1,1,right,0.3524,,233.6573,233.6583,,1,,233.6595,233.6605,,1,,0,233.6606,233.6606,233.6615,235.1541,0,33,33,33,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,235.1553,235.1553,235.1571,236.2529,0,0,left,0.5688,,236.2562,236.2573,,0,,236.2586,236.26,,0,,1,236.26,236.2601,236.2613,237.7526,0,34,34,34,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,237.7546,237.7547,237.7567,239.9193,0,1,left,1.6394,,239.9223,239.9233,,1,,239.9245,239.9258,,0,,0,239.9258,239.9258,239.9269,241.4185,0,35,35,35,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,241.4196,241.4197,241.4221,242.3349,1,1,right,0.3863,,242.338,242.3392,,1,,242.3407,242.3417,,1,,0,242.3418,242.3418,242.3427,243.8348,0,36,36,36,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66aa5aaa7f31ee53f61079ac,66fc993a35423bf8b2a11e9a,2024-10-01_17h55.01.381,mdp,2024.2.1,Win32,59.88023952,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,243.8358,243.8358,243.8382,244.9682,0,1,left,0.6064,,244.9706,244.9718,,0,,244.9729,244.9741,,0,,0,244.9742,244.9742,244.9752,246.467,0,37,37,37,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
