init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0001,0.0007,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,0.003,50.708,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,50.7085,71.4231,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,71.4235,97.2165,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,97.2169,137.4467,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,137.4469,156.7121,y,9.2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq20.csv,156.7142,161.5477,space,4.3233,,161.5496,161.5497,161.5499,175.5194,0,1,left,13.4561,,175.5198,175.521,,0,,175.5212,175.5218,,0,,0,175.5218,175.5218,175.5221,177.018,0,0,0,0,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,177.0184,177.0184,177.0192,178.9533,1,0,right,1.4249,,178.954,178.9546,,1,,178.9549,178.9552,,0,,1,178.9552,178.9552,178.9554,180.4518,0,1,1,1,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,180.4522,180.4522,180.4534,182.089,1,0,right,1.1274,,182.0895,182.09,,0,,182.0902,182.0904,,0,,1,182.0905,182.0905,182.0906,183.5875,0,2,2,2,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,183.5879,183.5879,183.5889,185.7589,0,0,left,1.6597,,185.7596,185.76,,1,,185.7604,185.7607,,0,,1,185.7607,185.7607,185.7609,187.2576,0,3,3,3,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,187.258,187.258,187.2588,188.9434,0,0,left,1.1739,,188.9446,188.945,,1,,188.9452,188.9455,,0,,1,188.9455,188.9455,188.9457,190.4416,0,4,4,4,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,190.4419,190.4419,190.4428,192.4328,0,1,left,1.4819,,192.4336,192.434,,0,,192.4343,192.4346,,0,,0,192.4346,192.4346,192.4348,193.9312,0,5,5,5,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,193.9314,193.9314,193.9321,194.9234,1,0,right,0.4789,,194.9243,194.9247,,1,,194.925,194.9253,,0,,1,194.9253,194.9253,194.9255,196.4218,0,6,6,6,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,196.422,196.4221,196.4228,197.4763,1,1,right,0.5413,,197.477,197.4775,,0,,197.4777,197.478,,1,,0,197.478,197.478,197.4782,198.9747,0,7,7,7,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,198.9749,198.9749,198.9755,200.1888,0,1,left,0.7019,,200.1894,200.19,,0,,200.1902,200.1905,,0,,0,200.1905,200.1905,200.1907,201.6872,0,8,8,8,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,201.6875,201.6875,201.688,202.6724,1,0,right,0.4727,,202.6734,202.6737,,1,,202.674,202.6742,,1,,1,202.6742,202.6742,202.6744,204.1709,0,9,9,9,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,204.1713,204.1713,204.1723,205.3434,1,1,right,0.6594,,205.3439,205.3444,,1,,205.3447,205.3449,,0,,0,205.345,205.345,205.3451,206.8419,0,10,10,10,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,206.8422,206.8422,206.8434,207.8893,0,1,left,0.5387,,207.8898,207.8901,,0,,207.8906,207.8908,,0,,0,207.8908,207.8908,207.8911,209.3879,0,11,11,11,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,209.3881,209.3881,209.3887,210.3176,0,0,left,0.417,,210.3182,210.3187,,1,,210.319,210.3192,,0,,1,210.3192,210.3192,210.3194,211.8159,0,12,12,12,1,0.6,0.4,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,211.8162,211.8162,211.8168,212.8636,0,1,left,0.5372,,212.8642,212.8647,,1,,212.865,212.8652,,1,,0,212.8652,212.8652,212.8655,214.3621,0,13,13,13,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,214.3626,214.3626,214.3634,215.3402,0,0,left,0.469,,215.3407,215.3413,,0,,215.3416,215.3418,,1,,1,215.3419,215.3419,215.3421,216.8387,0,14,14,14,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,216.8391,216.8391,216.8404,217.7197,1,0,right,0.3729,,217.7203,217.7207,,0,,217.721,217.7213,,0,,1,217.7213,217.7213,217.7216,219.2182,0,15,15,15,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,219.2184,219.2184,219.2189,220.0853,0,1,left,0.3542,,220.086,220.0865,,1,,220.0867,220.0869,,1,,0,220.0869,220.0869,220.0872,221.5838,0,16,16,16,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,221.5842,221.5842,221.5852,222.3747,1,0,right,0.2811,,222.3753,222.3756,,0,,222.3758,222.3761,,1,,1,222.3761,222.3761,222.3763,223.8732,0,17,17,17,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,223.8734,223.8735,223.874,224.7126,1,0,right,0.3302,,224.7132,224.7137,,0,,224.7141,224.7144,,1,,1,224.7144,224.7144,224.7147,226.2111,0,18,18,18,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,226.2113,226.2113,226.2119,227.6682,0,1,left,0.9487,,227.6689,227.6692,,1,,227.6695,227.6698,,0,,0,227.6698,227.6698,227.67,229.1666,0,19,19,19,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,229.167,229.167,229.1678,230.0128,1,0,right,0.3335,,230.0134,230.014,,0,,230.0143,230.0145,,0,,1,230.0146,230.0146,230.0148,231.5113,0,20,20,20,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,231.5117,231.5117,231.5124,232.33,1,0,right,0.3095,,232.3304,232.3307,,1,,232.3309,232.3312,,0,,1,232.3312,232.3312,232.3314,233.8284,0,21,21,21,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,233.8287,233.8287,233.8292,234.5915,0,0,left,0.2486,,234.5922,234.5927,,0,,234.593,234.5931,,1,,1,234.5931,234.5932,234.5933,236.0901,0,22,22,22,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,236.0904,236.0904,236.0914,236.9919,0,0,left,0.3908,,236.9926,236.9931,,0,,236.9934,236.9936,,0,,1,236.9936,236.9937,236.994,238.4904,0,23,23,23,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf21fac640537abe16a607,66fc9b158cfd00dc61387fb1,2024-10-02_03h02.50.576,mdp,2024.2.1,Win32,144.9275362,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,238.4906,238.4906,238.4911,239.2259,1,1,right,0.2225,,239.2266,239.227,,0,,239.2273,239.2276,,1,,0,239.2276,239.2276,239.2278,240.7243,0,24,24,24,1,0.8,0.2,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
