init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0001,0.0007,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,0.0026,31.9404,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,31.9408,42.6432,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,42.6435,61.8856,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,61.8902,80.0187,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,,,,,,,,,80.0234,116.4975,y,26.4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq21.csv,116.5034,119.9823,space,2.97,,119.9838,119.9838,119.9839,123.0672,1,1,right,2.5766,,123.0714,123.072,,0,,123.072,123.0725,,0,,0,123.0726,123.0726,123.0727,124.57,0,0,0,0,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,124.5702,124.5702,124.5706,126.0306,0,1,left,0.9516,,126.031,126.0313,,0,,126.0315,126.0317,,0,,0,126.0317,126.0317,126.0319,127.5275,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,127.5276,127.5276,127.5282,128.873,1,0,right,0.8419,,128.8733,128.8736,,1,,128.8737,128.874,,1,,1,128.874,128.874,128.8742,130.3699,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66cf32c269c7951c97de25fc,66daf8f97b99d644b6352da9,2024-09-06_14h44.21.179,mdp,2024.2.1,Win32,166.6666667,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,130.3701,130.3701,130.3705,132.7639,1,1,right,1.8875,,132.7683,132.7686,,1,,132.7689,132.769,,0,,0,132.7691,132.7691,132.7692,134.2669,0,3,3,3,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
