init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0003,0.0025,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,0.0108,29.0916,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,29.0931,55.3983,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,55.4012,72.1839,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,72.1854,91.1225,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,,,,,,,,,91.1251,101.2013,y,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq38.csv,101.2102,103.6926,space,1.9468,,103.7006,103.7008,103.7023,111.7586,1,0,right,7.4655,,111.7595,111.7633,,0,,111.7643,111.7714,,0,,1,111.7718,111.7721,111.7757,113.2826,0,0,0,0,1,0.6,0.4,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,113.2835,113.2837,113.2857,118.4717,1,0,right,4.6402,,118.5511,118.5528,,0,,118.5804,118.582,,0,,1,118.5821,118.5821,118.5849,120.0814,0,1,1,1,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,120.0822,120.0823,120.0848,128.3628,1,0,right,7.7392,,128.3936,128.3951,,0,,128.3973,128.4057,,0,,1,128.4057,128.4058,128.4185,129.8944,0,2,2,2,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66d5b85d1841cb833e814b36,66daf5a5e7a8ff02353aa2ab,2024-09-06_13h31.23.521,mdp,2024.2.1,MacIntel,30.03003003,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,129.8954,129.8954,129.8977,131.9203,1,1,right,1.4694,,131.9226,131.9261,,0,,131.9284,131.9302,,0,,0,131.9302,131.9303,131.9316,133.4247,0,3,3,3,1,0.4,0.6,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
