init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.001,0.005,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,0.014,103.726,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,103.733,130.969,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,130.972,199.491,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,199.496,230.505,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,230.505,245.268,y,4.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq7.csv,245.291,250.965,space,5.129,,250.984,250.984,250.986,280.824,1,0,right,29.285,,280.83,280.845,,0,,280.847,280.86,,0,,1,280.86,280.86,280.866,282.353,0,0,0,0,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,282.354,282.354,282.357,286.692,1,0,right,3.787,,286.694,286.699,,0,,286.7,286.702,,0,,1,286.703,286.703,286.704,288.215,0,1,1,1,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,288.216,288.216,288.219,291.046,0,0,left,2.295,,291.049,291.053,,1,,291.059,291.064,,1,,1,291.064,291.064,291.067,292.556,0,2,2,2,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,292.557,292.557,292.559,294.276,1,1,right,1.178,,294.279,294.282,,0,,294.286,294.29,,0,,0,294.29,294.29,294.291,295.779,0,3,3,3,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,295.781,295.781,295.782,297.616,0,0,left,1.31,,297.619,297.622,,1,,297.624,297.626,,0,,1,297.626,297.626,297.627,299.142,0,4,4,4,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,299.143,299.143,299.145,301.79,1,1,right,2.106,,301.792,301.795,,1,,301.801,301.804,,0,,0,301.804,301.805,301.807,303.3,0,5,5,5,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,303.301,303.301,303.303,304.574,0,0,left,0.728,,304.575,304.577,,0,,304.579,304.582,,0,,1,304.582,304.582,304.583,306.08,0,6,6,6,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,306.083,306.083,306.085,307.579,0,0,left,0.961,,307.586,307.59,,0,,307.593,307.596,,0,,1,307.596,307.596,307.597,309.095,0,7,7,7,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,309.096,309.096,309.098,310.317,0,0,left,0.691,,310.32,310.332,,0,,310.335,310.344,,1,,1,310.344,310.344,310.347,311.843,0,8,8,8,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,311.843,311.843,311.844,313.524,0,0,left,1.151,,313.527,313.53,,0,,313.533,313.535,,1,,1,313.535,313.535,313.536,315.024,0,9,9,9,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,315.025,315.025,315.028,316.515,0,1,left,0.961,,316.517,316.523,,1,,316.524,316.527,,0,,0,316.527,316.527,316.528,318.022,0,10,10,10,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66da1ee997e80ed7628558f3,66daf5b7788896b5b1c3e337,2024-09-06_14h32.38.588,mdp,2024.2.1,Win32,60.09615385,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,318.022,318.023,318.024,319.162,0,1,left,0.605,,319.163,319.173,,0,,319.174,319.176,,0,,0,319.176,319.176,319.177,320.674,0,11,11,11,1,0.4,0.6,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
