init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0005,0.0028,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,0.0085,35.035,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,35.0358,55.9502,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,55.9602,77.5497,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,77.5601,88.2495,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,88.2596,108.1662,y,9.8854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,1,seqs/st1seq28.csv,108.1802,110.9993,space,2.3008,,111.0113,111.0115,111.0118,113.6492,0,0,left,2.1143,,113.6498,113.6513,,0,,113.6517,113.6526,,1,,1,113.6527,113.6528,113.6531,115.149,0,0,0,0,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,115.1495,115.1495,115.1504,118.4153,1,0,right,2.7345,,118.4253,118.4261,,0,,118.4268,118.4272,,0,,1,118.4272,118.4272,118.4276,119.9153,0,1,1,1,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,119.9157,119.9157,119.917,122.8153,0,0,left,2.375,,122.8251,122.8259,,1,,122.8264,122.8268,,1,,1,122.8269,122.8269,122.8272,124.3151,0,2,2,2,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,124.3155,124.3155,124.3166,126.5319,0,0,left,1.6877,,126.533,126.5337,,0,,126.5345,126.535,,0,,1,126.535,126.535,126.5355,128.0318,0,3,3,3,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,128.0321,128.0321,128.0332,129.4985,1,0,right,0.9348,,129.4996,129.5003,,0,,129.5009,129.5015,,1,,1,129.5015,129.5015,129.5019,130.9985,0,4,4,4,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,130.9987,130.9988,131.0001,132.1817,0,0,left,0.6521,,132.183,132.1837,,0,,132.1843,132.1848,,0,,1,132.1848,132.1848,132.1851,133.6816,0,5,5,5,1,0.8,0.2,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,133.682,133.682,133.6833,134.8649,0,1,left,0.6458,,134.8662,134.8672,,1,,134.8677,134.8681,,1,,0,134.8681,134.8681,134.8686,136.3649,0,6,6,6,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,136.3652,136.3652,136.3665,138.0484,0,1,left,1.156,,138.0495,138.0503,,1,,138.051,138.0516,,0,,0,138.0517,138.0517,138.0522,139.548,0,7,7,7,1,0.6,0.4,0.2,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,139.5485,139.5485,139.5497,141.1647,1,1,right,1.0908,,141.1657,141.1663,,0,,141.167,141.1675,,1,,0,141.1675,141.1675,141.1679,142.6647,0,8,8,8,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,142.6652,142.6652,142.6662,145.2648,0,0,left,2.0733,,145.2657,145.2664,,0,,145.267,145.2674,,1,,1,145.2675,145.2675,145.2679,146.7645,0,9,9,9,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,146.7649,146.7649,146.7659,148.348,0,0,left,1.057,,148.3491,148.3498,,0,,148.3504,148.3508,,0,,1,148.3509,148.3509,148.3512,149.848,0,10,10,10,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,149.8484,149.8484,149.8494,150.898,1,0,right,0.5172,,150.8994,150.9002,,1,,150.9008,150.9013,,1,,1,150.9014,150.9014,150.9019,152.3979,0,11,11,11,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,152.3984,152.3984,152.3994,153.2979,1,0,right,0.378,,153.2989,153.2996,,0,,153.3002,153.3007,,1,,1,153.3007,153.3007,153.3012,154.7978,0,12,12,12,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,154.7982,154.7982,154.7992,155.6812,0,0,left,0.3458,,155.6825,155.6832,,0,,155.6838,155.6842,,0,,1,155.6843,155.6843,155.6847,157.1812,0,13,13,13,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,157.1815,157.1815,157.1826,158.0145,0,0,left,0.3065,,158.0155,158.0164,,0,,158.0169,158.0175,,0,,1,158.0175,158.0175,158.0179,159.5145,0,14,14,14,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,159.5151,159.5151,159.516,160.3312,1,1,right,0.2852,,160.3323,160.3331,,1,,160.3337,160.3341,,0,,0,160.3341,160.3341,160.3345,161.831,0,15,15,15,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,161.8314,161.8314,161.8324,162.7144,1,1,right,0.355,,162.7155,162.7161,,1,,162.7167,162.7171,,1,,0,162.7171,162.7171,162.7176,164.2143,0,16,16,16,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,164.2147,164.2148,164.2159,165.9311,1,0,right,1.1854,,165.9322,165.933,,0,,165.9335,165.9339,,0,,1,165.9339,165.9339,165.9344,167.4311,0,17,17,17,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66dae86be0d77b33d6805623,66daf5bab92947885aefac0b,2024-09-06_14h30.40.497,mdp,2024.2.1,Win32,59.88023952,66d7945b1baad48e845df3ce,,,,,,,,,,,,,,,,,,,,,167.4315,167.4315,167.4327,168.3644,1,0,right,0.4135,,168.3656,168.3664,,1,,168.3669,168.3674,,0,,1,168.3674,168.3674,168.3679,169.8641,0,18,18,18,1,0.2,0.8,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
