init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0,0,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,0.001,25.145,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,25.148,60.43,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,60.433,90.221,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,90.223,103.01,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,103.01,141.782,y,28.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq48.csv,141.786,145.062,space,2.749,,145.066,145.066,145.066,254.296,0,1,left,108.701,,254.299,254.302,,1,,254.303,254.305,,1,,0,254.305,254.305,254.305,255.795,0,0,0,0,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,255.795,255.795,255.796,260.407,1,1,right,4.081,,260.41,260.413,,0,,260.415,260.417,,0,,0,260.417,260.417,260.418,261.906,0,1,1,1,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,261.907,261.907,261.909,265.603,1,1,right,3.164,,265.605,265.607,,1,,265.607,265.609,,0,,0,265.609,265.609,265.611,267.101,0,2,2,2,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,267.101,267.102,267.103,268.966,0,1,left,1.334,,268.968,268.971,,0,,268.972,268.973,,1,,0,268.973,268.973,268.973,270.465,0,3,3,3,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,270.466,270.466,270.466,271.946,0,0,left,0.954,,271.947,271.95,,0,,271.95,271.95,,0,,1,271.95,271.95,271.951,273.445,0,4,4,4,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,273.446,273.446,273.448,274.695,0,1,left,0.716,,274.696,274.698,,1,,274.699,274.699,,0,,0,274.699,274.699,274.7,276.193,0,5,5,5,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,276.194,276.194,276.196,278.441,1,0,right,1.726,,278.442,278.444,,0,,278.445,278.445,,0,,1,278.445,278.445,278.446,279.94,0,6,6,6,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,279.94,279.94,279.941,281.338,0,0,left,0.873,,281.34,281.341,,0,,281.343,281.343,,0,,1,281.343,281.343,281.343,282.837,0,7,7,7,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,282.838,282.838,282.839,284.12,1,0,right,0.753,,284.12,284.122,,0,,284.122,284.123,,0,,1,284.123,284.123,284.124,285.618,0,8,8,8,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,285.623,285.623,285.625,286.768,0,1,left,0.616,,286.769,286.772,,1,,286.773,286.773,,1,,0,286.773,286.773,286.773,288.266,0,9,9,9,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,288.266,288.266,288.268,289.681,0,1,left,0.902,,289.683,289.686,,0,,289.687,289.688,,1,,0,289.688,289.688,289.688,291.18,0,10,10,10,1,0.2,0.8,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,291.18,291.18,291.182,291.996,1,0,right,0.285,,291.997,292,,0,,292.001,292.001,,1,,1,292.001,292.001,292.002,293.495,0,11,11,11,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,293.496,293.496,293.497,294.66,1,1,right,0.636,,294.661,294.662,,1,,294.665,294.665,,1,,0,294.665,294.665,294.666,296.159,0,12,12,12,1,0.8,0.2,0.6,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ee9fe856b8ab5a2aa44442,66fceb2270d9f9e3077dc964,2024-10-02_08h52.54.550,mdp,2024.2.1,Win32,59.73715651,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,296.16,296.16,296.16,298.107,0,1,left,1.419,,298.108,298.11,,1,,298.111,298.112,,1,,0,298.112,298.112,298.113,299.606,0,13,13,13,1,0.6,0.4,0.8,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
