init_exp.started,init_exp.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,disp_instruction.started,disp_instruction.stopped,instruction.thisRepN,instruction.thisTrialN,instruction.thisN,instruction.thisIndex,instruction.ran,instimg_path,consent.started,consent.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,n_steps,sequence_path,init_block.started,init_block.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_trials.started,init_trials.stopped,step0.started,step0.stopped,act0,s1,res0.keys,res0.rt,res0.duration,step1.started,step1.stopped,act1,s2,res1.keys,step2.started,step2.stopped,act2,s3,res2.keys,rew,reward_comp.started,reward_comp.stopped,reward_disp.started,reward_disp.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s00a0s10,s00a0s11,s00a1s10,s00a1s11,rew10,rew11,break_block.started,break_block.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,s00path,s10path,s11path,s20path,s21path,res1.rt,res1.duration,s10a0s20,s10a0s21,s10a1s20,s10a1s21,s11a0s20,s11a0s21,s11a1s20,s11a1s21,rew20,rew21,res2.rt,res2.duration,s20a0s30,s20a0s31,s20a1s30,s20a1s31,s21a0s30,s21a0s31,s21a1s30,s21a1s31,rew30,rew31
0.0003,0.0038,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,0.0159,43.6427,0,0,0,0,1,rlnn_exp/rlnn_exp.001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,43.6449,66.9865,0,1,1,1,1,rlnn_exp/rlnn_exp.002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,66.9901,97.8723,0,2,2,2,1,rlnn_exp/rlnn_exp.003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,97.8745,127.6308,0,3,3,3,1,rlnn_exp/rlnn_exp.004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,,,,,,,,,127.6315,205.3811,y,67.1834,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,,,,,,,,,,,,,,1,seqs/st1seq47.csv,205.3903,212.6829,space,6.1645,,212.6922,212.6924,212.6936,373.4252,0,0,left,159.5336,0.0003,373.4266,373.4307,,0,,373.432,373.4362,,0,,1,373.4366,373.4367,373.4388,374.9825,0,0,0,0,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,374.9921,374.9928,374.9964,582.7895,1,0,right,206.6819,,582.7923,582.794,,1,,582.7964,582.7986,,1,,1,582.7987,582.7987,582.8007,584.3053,0,1,1,1,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,584.3065,584.3065,584.3095,590.3696,0,0,left,4.9549,,590.3726,590.3743,,0,,590.3765,590.3783,,0,,1,590.3783,590.3783,590.3803,591.877,0,2,2,2,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66f7aee700d2b58d3c21d64b,66fcbc1a810425318284b8e9,2024-10-02_04h27.19.613,mdp,2024.2.1,Win32,2.73000273,66fa4ebf79326e780c390304,,,,,,,,,,,,,,,,,,,,,591.879,591.8791,591.8822,597.9596,0,0,left,4.9655,,597.9625,597.9641,,0,,597.9668,597.9684,,0,,1,597.9684,597.9684,597.9779,599.4733,0,3,3,3,1,0.8,0.2,0.4,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
